Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Liz Landry,1,WR,5-9,172,1980,Beaumont,TX,Texas Wesleyan Uni,0,0,0,0,0,0,0,0,7,1,7,0,276,19,33,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,35,3,90,38,0,0,0,0,0,4,0,0,0,0,0,0,0
Eshombi Singleton,2,DB,5-9,176,1983,Baton Rouge,LA,Rice University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shantia Creech,3,DB,5-7,152,1991,Philadelphia,PA,Goldey-Beacom College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessica Collins,4,DB,5-5,145,1989,Jackson,MS,SNHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,32,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kristi Taylor,5,QB,5-6,200,1985,Arlington,TX,Cameron University,6,1,1,0,0,0,NR,91.7,0,1,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivia Griswold,6,DL,5-10,210,1986,Toledo,OH,Sanford Brown Inst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,7,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michelle Angel,7,QB,5-9,140,1993,Laguna Hills,CA,Orange Coast College,65,8,20,40,4,1,NR,67.7,12,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brittany Bushman,8,QB,5-6,150,1986,Portsmouth,NH,Emmanuel College,940,67,114,58.8,16,3,NR,114,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allyssa Weatherd,9,LB,5-7,175,1993,Fort Worth,TX,Dominican University of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desiray Mosley,10,DB,5-4,140,1996,Sulphur Springs,TX,Mississippi Valley State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.5,0,0,1,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deana Simmons-Guidry,11,LB,5-6,188,1978,Decatur,IL,UCLA,0,0,0,0,0,0,0,0,0,0,0,0,17,1,17,0,15,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,3,30,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanna McEwen,12,DB,5-7,145,1998,Winnipeg,MB,University of Manitoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,1,0,NR,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jewelle Grimsley,13,DB,5-7,166,1988,St Petersburg,FL,Excelsior College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tara Thomas,15,RB,5-4,150,1989,Dallas,TX,Texas Tech University,0,0,0,0,0,0,0,0,290,39,29,4,65,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,66,35,9,185,42,0,2,31,0,NR,4,0,0,0,0,0,0,0
Brittany Satterwhite,17,RB,5-5,145,1986,Austin,TX,Temple College,0,0,0,0,0,0,0,0,265,38,28,4,121,9,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,12,1,8,8,0,0,0,0,0,6,0,0,0,0,0,0,0
Nyeisha Wright,18,WR,5-7,170,1988,Brooklyn,NY,Middle Tennessee State,0,0,0,0,0,0,0,0,74,1,74,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ashley McBay,20,RB,5-2,145,1990,Grand Prairie,TX,University of Kansas,0,0,0,0,0,0,0,0,42,11,12,1,48,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Denesha Richardson,21,DB,5-8,170,1994,Houston,TX,West Virginia Wesleyan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,1,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
