Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Morgan Smith,0,OL,5-4,192,1992,Clarksville,TN,Cottonwood High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mio Yoshisa,1,RB,5-2,121,1995,NR,Japan,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jane (Redd) Brinkman,2,DL,6-0,176,1970,Wildomar,CA,University of Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tina Tela,3,DL,5-6,190,1980,Carson,CA,Timpview High,0,0,0,0,0,0,0,0,29,12,6,2,0,0,0,0,24.5,17,8.5,0,0,1,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
Kayelle Brown,4,DL,6-0,180,1990,Bluffdale,UT,Jordan High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0
Maya Jamison,5,RB,5-6,156,1997,Detroit,MI,Indiana State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly Stack/Johnston,6,WR,6-0,150,1990,Madison,AL,Bob Jones High School,130,4,6,66.7,3,0,NR,149.3,0,0,0,0,131,3,56,2,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Laura Goetz,7,S,5-6,145,2004,West Jordan,UT,Bingham High School,0,0,0,0,0,0,0,0,37,11,12,1,0,0,0,0,24.5,18,42.5,0,1,3,42,23,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ally Cleveland,8,OL,6-1,205,1962,Salt Lake City,UT,Ferris State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memory Ware,9,DB,6-7,155,1985,Napa,CA,University of Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sara Galica,10,QB,5-2,135,1991,Bountiful,UT,Weber State University,328,12,35,34.3,6,1,56,97.4,182,34,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Megan Robertson,12,K,5-7,180,1990,Chesapeake,VA,University of Notre Dame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,141,0,41,0,0,2,NR,8,13,0,0
Erin Miller,14,DB,5-7,147,1982,Honolulu,HI,Warner Pacific University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,9,1.5,0,0,1,39,39,1,1,0,NR,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Naena Bland,16,WR,5-9,130,1996,Richmond,UT,Sky View High School / Westminster College,0,0,0,0,0,0,0,0,0,0,0,0,241,7,53,4,5,4,0,0,0,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Courtney Gray,18,RB,5-4,160,1988,Texas,TX,Brazos High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hannah Makasini,20,RB,5-7,200,1999,Provo,UT,Provo High School / University of Utah,0,0,0,0,0,0,0,0,148,38,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
