Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Dominique Williams,0,TE,5-9,180,1996,Upper Darby,PA,Claflin University,0,0,0,0,0,0,0,0,0,0,0,0,159,11,51,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jelisa Fladger,1,LB,5-3,160,1991,Camden,NJ,Winslow Township High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deja Mosley,2,QB,5-4,125,1997,Bridgeton,NJ,Waldon University,13,2,3,66.7,0,0,NR,75.7,7,3,5,0,89,7,30,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,63,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karmen Henson,3,LB,5-5,156,1989,Chester,PA,Wilmington University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serika Shillingsworth,4,WR,5-9,155,1999,Australia,NR,Guymea Technology High School,0,0,0,0,0,0,0,0,3,1,3,0,48,5,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,149,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latasha Dragon Richardson,5,DE,6-1,205,1986,Philadelphia,PA,Bloomsburg University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najiaa Michel,6,LB,5-4,165,1996,Philadelphia,PA,East Stroudsburg University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India Parker,7,RB,5-7,170,2000,Millville,NJ,Millville High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Snoopy Snow,9,DB,5-8,140,1995,New York,NY,Bedford Stuyvesant Prep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiyah Snoop Robertson,10,DB,5-6,150,1996,Philadelphia,PA,Chester High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maria Jackson,11,WR,5-7,165,1995,Hudson,PA,Brandeise University,0,0,2,0,0,0,NR,39.6,261,72,31,2,36,7,24,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,112,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Alla Ticket Gruzdeva,12,QB,5-7,145,1993,Moscow,Russia,Peoples Friendship University of Russia,389,36,109,33,1,6,NR,24.6,208,62,19,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,17,349,0,63,4,0,0,0,0,0,0,3
Nellie Mixon,13,TE,5-8,190,1985,Philadelphia,PA,Nueman University,0,0,0,0,0,0,0,0,0,0,0,0,50,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria Bear McLean,14,TE,5-8,175,1996,Philadelphia,PA,Lenape High School,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charneice Carney,15,DB,5-2,128,1994,Philadelphia,PA,Lasalle University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,0,1,0,0,0,0,0,0,0,0,3,0,2,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autumn Dozier,16,DB,5-1,135,1997,Brookhaven,PA,Penn State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malak Bentoudjamalak,17,WR,5-7,136,1998,Morocco,NR,"University IBN Tofail, Kenitra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandy Rodriguez,18,RB,5-3,165,1998,Philadelphia,PA,Maritime Academy Charter High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judea McDonald,19,DL,5-6,180,1997,Highland Park,NJ,Highland Park High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanessa Bell-Carmichael,20,DE,5-5,157,1988,Philadelphia,PA,Cardinal Dougherty High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicole Fairman,22,LB,5-4,170,1995,Philadelphia,PA,Shippensburg University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,2,12,NR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jasmine Poole,23,DB,5-6,160,1994,Burlington,NJ,Rutgers University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0
