Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Danielle Galloway,0,WR,5-3,155,1997,Los Angeles,CA,"Cal state, northridge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miriah Lopez,1,WR,5-3,127,1994,Dallas,TX,Creekview high,0,0,0,0,0,0,0,0,0,0,0,0,125,8,46,2,0,0,0,0,0,1,30,NR,0,0,0,0,0,1,0,4,33,22,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Maria Acension,2,DB,5-4,135,1990,Las Vegas,NV,Rancho High School,0,0,0,0,0,0,0,0,0,0,0,0,45,2,40,0,9,1,0,0,0,1,5,5,0,0,0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cindy Teitsma,3,DB,5-6,140,1982,Las Vegas,NV,Taft College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cindylou Rasiang,4,QB,5-6,165,2003,Las Vegas,NV,Bonanza High School,151,15,49,30.6,1,3,NR,21.7,26,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malissa Miles,5,WR,5-9,170,1988,Los Angeles,CA,"Cal State, Northridge",0,0,0,0,0,0,0,0,2,1,2,0,54,9,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Skylar Pringle-Hicks,6,DL,NR,NR,2003,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christina Montoya,7,WR,5-5,145,1990,Las Vegas,NV,University of Phoenix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samantha Caruth,8,WR,5-10,170,1998,Las Vegas,NV,Central Methodist University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalyx Lewis,9,RB,5-5,140,1997,West Orange,NJ,University of Nevada Las Vegas,0,0,0,0,0,0,0,0,231,58,17,1,58,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
