Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Molly Richardson,1,WR,5-4,130,NR,Jacksonville,FL,Rose-Hulman Institute of Technology,0,0,4,0,0,2,NR,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paige Jones,3,LB,5-4,144,NR,Jacksonville,FL,St. Johns River State College,0,0,0,0,0,0,0,0,7,5,4,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leslie Hubbell,4,LB,5-7,155,NR,Baltimore,MD,San Diego State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0.5,0,0,0,0,0,0,1,0,NR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sydney Smith,6,S,5-6,130,NR,Savannah,GA,Georgia Southern University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,8,8,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tia McCants,7,RB,5-2,120,NR,Belle Glade,FL,University of South Florida,0,0,0,0,0,0,0,0,0,1,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NR,0,0,0,0,0,2,89,0,48,0,0,0,0,0,0,0,0
Chrystin Lucas,8,WR,5-5,160,NR,Jacksonville,FL,Mandarin HS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shanysse Emerenciana,9,WR,5-3,130,NR,Willemstad,Curacao,Florida Tech,0,0,0,0,0,0,0,0,0,0,0,0,19,2,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xiarysse Emerenciana,10,WR,5-2,132,NR,Willemstad,Curacao,Florida Tech,0,0,0,0,0,0,0,0,6,2,3,0,53,7,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,149,93,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Diamond Scott,11,WR,5-1,130,NR,Piscataway,NJ,Lincoln University of PA,6,2,7,28.6,0,2,NR,0,15,5,8,0,21,2,21,0,10,0,0,0,0,2,13,13,0,0,0,0,0,1,0,2,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan Augustine,12,DE,5-9,190,NR,Fort Myers,FL,Charlotte HS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,4,3,0,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
