Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Nichelle Blake,0,LB,5-4,185,NR,Washington,DC,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Britnee Sangalan,1,WR,5-3,138,NR,Washington,DC,NR,0,0,0,0,0,0,0,0,0,0,0,0,92,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,191,30,0,7,95,31,0,0,0,0,0,0,0,0,0,0,0,0,1
Quiana Ford,2,DB,5-8,155,NR,Washington,DC,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanaysa Henderson,3,WR,5-11,175,NR,Brooklyn,NY,NR,0,0,0,0,0,0,0,0,0,0,0,0,31,3,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Cheri Gantt,4,RB,5-2,140,NR,Washington,DC,NR,0,0,0,0,0,0,0,0,205,56,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
Ta Shaun Leigh,5,DB,5-8,145,NR,Newport News,VA,NR,0,0,0,0,0,0,0,0,107,13,76,1,0,0,0,0,27,11,7.5,3,1,2,40,18,0,0,0,0,0,0,3,2,38,17,0,2,34,18,0,0,0,0,0,1,0,0,0,0,0,0,0
Eby Okonkwo,6,LB,5-6,200,NR,Clearwater Beach,FL,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley Clark,7,QB,5-10,150,NR,Richmond,CA,NR,447,27,73,37,7,6,NR,56.1,0,4,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatasia Smith,8,WR,5-3,145,NR,Manhattan,NY,NR,0,0,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monique Dingle,11,DB,5-2,138,NR,Washington,DC,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,NR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jennell Thomas,12,QB,5-5,190,NR,Clarksville,TN,NR,207,15,44,34.1,3,3,NR,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
