Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Jacqueline Lopez,1,WR,5-3,110,NR,Portland,OR,NR,0,0,0,0,0,0,0,0,0,0,0,0,8,1,8,0,11,3,1,0,0,2,16,NR,0,0,0,0,0,0,0,7,83,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camille Wilson,2,RB,5-4,135,NR,Portland,OR,NR,0,0,0,0,0,0,0,0,8,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheyene Adkins,3,WR,5-3,130,NR,Vancouver,WA,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiki Stonebraker,4,QB,5-7,175,NR,Wilsonville,OR,NR,2,3,8,37.5,0,1,NR,6.2,10,5,8,0,0,0,0,0,8,8,3.5,0.5,0,0,0,0,0,0,0,0,0,1,0,4,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kennetta Murry,5,DL,5-8,185,NR,Puyallup,WA,NR,0,0,0,0,0,0,0,0,35,12,9,0,44,7,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanessa Palmeri,7,WR,5-4,170,NR,Portland,OR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hollie Petrie,9,QB,5-6,200,NR,Forest Grove,OR,NR,204,25,57,43.9,0,3,NR,31.6,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly Schaeffer,12,WR,5-3,120,NR,Milwaukie,OR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,1,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarah A Levrets,14,WR,5-9,140,NR,Lake Oswego,OR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Thomas,15,WR,5-5,135,NR,Portland,OR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ikeisha Dobbin,16,DB,5-5,130,NR,Tacoma,WA,NR,0,0,0,0,0,0,0,0,35,13,11,0,2,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jo Hutchins,17,WR,5-8,140,NR,Portland,OR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jennifer Southall,18,WR,5-1,140,NR,Portland,OR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiana Bell,20,LB,5-5,210,NR,Happy Valley,OR,NR,0,0,0,0,0,0,0,0,8,4,4,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarah Cabot,21,DB,5-6,145,NR,Portland,OR,NR,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kritt Tucker,22,LB,5-5,175,NR,Tigard,OR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,9,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kris Grimes,26,RB,5-3,201,NR,Portland,OR,NR,0,0,0,0,0,0,0,0,401,84,32,3,6,5,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Kola Shippentower Thompson,29,RB,5-5,180,NR,Pendleton,OR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gloria Winner,31,DB,5-2,130,NR,Vancouver,WA,NR,0,0,0,0,0,0,0,0,12,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasha Dailey,32,LB,5-3,150,NR,Tacoma,WA,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jenna Sukle,33,WR,5-6,145,NR,Albany,OR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitzi Macias,35,WR,5-5,140,NR,Tigard,OR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AuBree Barnes,36,WR,5-2,140,NR,Portland,OR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
