Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Brittani Lusain,1,LB,5-8,175,1995,San Diego,CA,Northern Arizona University,0,0,0,0,0,0,0,0,0,0,0,0,65,5,25,1,13,14,0.5,0,4,1,0,NR,0,2,8,8,0,0,0,1,34,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sakura Roberson,2,WR,6-0,145,1999,San Diego,CA,SDSU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samonah Betts,3,TE,NR,NR,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jen Strother,4,K,5-5,195,1971,Escondido,CA,Grand Canyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,0
Daisy Avila,5,DB,5-4,190,1996,Ossining,NY,Liberty University- Graduate School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kristin Smereczynski,7,WR,NR,NR,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,15,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natalia Escoto,8,LB,5-0,107,2003,Ciudad de México,Mexico,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,1,0,0,1,6,NR,0,2,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markeisha Perry,9,DB,NR,NR,1993,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katie Claxton,10,LB,6-0,180,1998,Whittier,CA,NR,0,0,0,0,0,0,0,0,0,0,0,0,99,5,42,1,18,20,4,2,4,2,37,31,1,4,0,NR,1,1,0,0,0,0,0,2,2,2,1,0,0,0,0,4,0,0,0,0,0,0,0
Diana Huynh,12,DB,5-2,135,1988,Corona,CA,Mt. San Antonio College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samantha Heck,13,WR,5-11,140,1991,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,10,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nisha Taylor,14,DB,5-6,135,1994,Portsmouth,VA,NR,0,0,0,0,0,0,0,0,0,0,0,0,61,3,28,3,11,4,0.5,0,0,3,12,12,0,0,0,0,0,5,0,3,46,27,0,1,0,NR,0,0,0,0,0,3,0,0,0,0,0,0,0
Danny Trainor,17,QB,5-7,162,1995,Beaverton,OR,NR,434,29,74,39.2,7,4,NR,68.2,188,45,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Tahj Reddick,18,DB,NR,NR,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jennifer Herrera,20,DB,5-6,160,1984,Yuma,AZ,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alicia Zappia,21,WR,5-2,120,1999,San Diego,CA,Cal State San Marcos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elliot (Elisa) Nguyen,22,LB,NR,NR,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amber O'Connor,23,LB,5-3,160,1997,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
