Team Index,Team Name,Division,Team Website,Home Field,Home Field City,Home Field State,Phone Number,Team Email,Head Coach,Assistant HC,Offensive Coordinator,Defensive Coordinator,Special Teams Coordinator,General Manager,Assistant General Manager,Director of Operations,Owner,PCT,PF,PA,Home Wins,Home Loss,Home Ties,Road Win,Road Loss,Road Tie,Div Win,Div Loss,Div Tie,Non Div Win,Non Div Loss,Non Div Tie,Streak
12,Washington Prodigy,Atlantic,https://www.washingtonprodigy.com/,Theodore Roosevelt High School,Washington,DC,215-327-4825,prodigysports.football@gmail.com,Keith Howard,NR,NR,Tiffany Matthews,NR,Jordyn White,NR,NR,NR,0.75,170,72,2,1,0,2,0,1,4,1,1,0,0,0,0
16,Atlanta Phoenix,Atlantic,https://www.atlphx.com/,Pebblebrook High School,Atlanta,GA,404-662-1242,Atlantaphoenix@wnfcfootball.com,Moncrief Hard,NR,NR,NR,NR,NR,NR,NR,NR,0.583,88,30,2,0,1,1,3,0,3,2,1,0,0,0,0
15,Tennesse Trojans,Atlantic,https://www.tennesseetrojans.com/,Lipscomb Academy,NR,TN,615-640-1382,tntrojans@wnfcfootball.com,Charles Hunter,Matthew Breymeyer,Charles Hunter,Maurice Faulk,NR,NR,NR,NR,Rachael Ortiz-Marsh,0.5,52,69,1,2,0,2,1,0,3,3,0,0,0,0,3
18,Philly Phantomz,Atlantic,https://www.phantomzprofootball.com/,Carey Stadium,NR,PA,610-931-4150,Info@phillyphantomz.com,DJ McFadden,NR,NR,NR,NR,NR,NR,NR,NR,0.167,53,57,0,3,0,1,2,0,1,5,0,0,0,0,0
17,Florida Avengers,Atlantic,NR,NR,NR,FL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,35,263,0,3,0,0,3,0,0,6,0,0,0,0,0
8,Mississippi Panthers,Central,https://www.mspanthers.com/,Madison Ridgeland Academy,NR,MS,601-451-2498,mspanthers@wnfcfootball.com,LeSteven Jackson,NR,NR,NR,NR,NR,NR,NR,NR,1,135,54,3,0,0,3,0,0,6,0,0,0,0,0,6
7,Texas Elite Spartans,Central,https://www.texaselitewomensfootball.com/,Max Goldsmith Stadium,NR,TX,NR,operations@texaselitewomensfootball.com,Odessa Jenkins,NR,NR,Lakesha Spain,NR,NR,NR,NR,NR,0.833,163,42,3,0,0,2,1,0,5,1,0,0,0,0,3
9,Kansas City Glory,Central,https://www.kansascityglory.com/,NR,NR,MO,NR,kcglory@wnfcfootball.com,Keke Blackmon,NR,NR,NR,NR,NR,NR,NR,NR,0.667,109,87,2,1,0,2,1,0,4,2,0,0,0,0,2
10,Denver Bandits,Central,https://www.denbandits.com/,Five Star Stadium,NR,CO,303-669-0581,Denverbandits@wnfcfootball.com,Sam Turner,NR,NR,NR,NR,NR,NR,NR,"John Lutz, Amber Craft",0.5,56,70,2,1,0,1,2,0,3,3,0,0,0,0,0
11,Houston Mambas,Central,https://www.houstonmambas.com/,Edward Mercer Stadium,NR,TX,832-626-2212,Info@houstonmambas.com,Chenell Soho Tillman-Brooks,NR,NR,NR,NR,NR,NR,NR,NR,0.167,52,127,1,2,0,0,3,0,1,5,0,0,0,0,0
1,San Diego Rebellion,Pacific,https://www.sandiegorebellion.com/,Escondido High/ Linfield Chriatian,NR,CA,NR,sdrebellion@wnfcfootball.com,Knengi Martin,NR,NR,NR,NR,NR,NR,NR,NR,1,165,26,3,0,0,3,0,0,6,0,0,0,0,0,6
2,Seattle Majestics,Pacific,https://www.theseattlemajestics.com/,French Field,NR,WA,NR,seattlemajestics@wnfcfootball.com,Rodney McCurry,NR,NR,NR,NR,NR,NR,NR,NR,0.667,155,118,2,1,0,2,1,0,4,2,0,0,0,0,3
5,Utah Falconz,Pacific,https://utahfalconz.com/,Cottonwood High School,NR,UT,859-816-3671,lacy.mile@utahfalconz.com,Keith Barnes,NR,Jon Price,Nate Hult,NR,NR,NR,NR,NR,0.5,102,87,1,2,0,2,1,0,3,3,0,0,0,0,1
4,Las Vegas Silver Stars,Pacific,https://www.lvsilverstars.com/,Faith Lutheran,NR,NV,NR,NR,Carrie Walters,NR,NR,NR,NR,NR,NR,NR,NR,0.333,85,113,0,3,0,2,1,0,2,4,0,0,0,0,0
6,Oregon Ravens,Pacific,https://oregonravens.com/,Milwaukie High School,NR,OR,503-853-1919,oregonravensfootball@gmail.com,Tim Price,NR,NR,NR,NR,Asia Wisecarver,NR,Heidi Shelburg,Oana Dumitrescu,0.167,24,177,0,3,0,1,2,0,1,5,0,0,0,0,0
3,Los Angeles Legends,Pacific,https://www.lalegendsfootball.com/,Warren High School,NR,CA,310-256-0267,lalegends@wnfcfootball.com,Monique Adams,NR,NR,NR,NR,NR,NR,NR,NR,0.167,40,92,0,3,0,1,2,0,1,5,0,0,0,0,0
