Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Erica Mason-Austin,1,WR,5-8,175,NR,Youngstown,OH,Vol State,0,0,0,0,0,0,0,0,0,0,0,0,15,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,46,24,0,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Bria Truxon,2,TE,5-9,189,NR,Philadelphia,PA,Penn State University,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erinn Payton,4,RB,5-10,202,NR,Detroit,MI,Macomb Community College,0,0,0,0,0,0,0,0,34,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starry Bady,5,DB,5-6,150,NR,Memphis,TN,Southern University of Baton Rouge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,NR,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joanna Young,6,WR,5-4,138,NR,Cannon County,TN,Maryville College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brittany Bassett,7,TE,5-11,178,NR,Memphis,TN,Arkansas State University,0,0,0,0,0,0,0,0,0,0,0,0,15,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charniece Carney,8,DB,5-2,128,NR,Philadelphia,PA,Lasalle University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kandy Bortz,10,WR,5-6,160,NR,Santiago de los Caballeros,Dominican Republic,Autonomous University of Santa Domingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carah Johnson,11,DB,5-6,133,NR,Stillman Valley,IL,Tennessee College of Applied Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brennan Crabtree,12,WR,5-8,135,NR,Athens,AL,University of Memphis,0,0,0,0,0,0,0,0,0,0,0,0,46,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,271,0,33,0,0,0,0,0,0,0,0
Tessa Ortiz-Marsh,13,QB,5-8,180,NR,Tomah,WI,University of Dayton School of Law,171,18,39,46.2,0,0,5,58.8,27,27,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Stacey Kremer,14,WR,5-7,155,NR,Cherry Hill,NJ,Union University,0,0,0,0,0,0,0,0,0,0,0,0,84,6,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Aurree King,15,RB,5-4,180,NR,Atwood,TN,South College,0,0,0,0,0,0,0,0,29,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayshia Slaughter,16,DB,5-5,175,NR,Columbus,OH,Columbus State Community College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcy Van Hartesveldt,17,WR,5-10,165,NR,Southfield,MI,University of Michigan,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michelle Dunham,18,WR,5-5,135,NR,Birmingham,AL,Oxford University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diamond Griggs Tucker,20,DB,5-6,132,NR,Gary,IN,Tennessee State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,61,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pita Lou,21,WR,5-6,120,NR,Smyrna,TN,University of Tennessee Martin,0,0,0,0,0,0,0,0,0,0,0,0,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
