Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Maggie Justinak,2,P/K,5-7,150,1998,Rock Springs,WY,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,13,286,0,37,0,0,0,0,0,0,0,0
Lydia Morgan,4,QB,5-3,115,NR,Idaho Falls,ID,NR,303,27,75,36,1,4,48,31.1,62,43,32,1,16,1,16,0,2,0,0,0,0,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brittany Jones,5,DB,5-6,145,NR,Denver,CO,NR,0,0,0,0,0,0,0,0,4,2,7,0,0,0,0,0,9.5,6,0,0,0,1,2,2,0,1,0,NR,0,2,0,9,210,90,1,1,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0
Mikal Chancy,8,DB,6-0,145,NR,Helena,MT,NR,0,0,0,0,0,0,0,0,0,0,0,0,61,6,24,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivia Wilson,11,WR,5-6,150,NR,Manhattan Beach,CA,NR,0,0,0,0,0,0,0,0,0,0,0,0,38,4,20,0,19,15,1,0,0,1,13,NR,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tatjana Tschirpke,13,QB,5-9,125,NR,North Grosvenordale,CT,NR,61,7,12,58.3,0,1,16,37.2,0,4,NR,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,323,45,45,0,0,0,0,3,4,0,0
Elora Maestas,14,WR,5-3,125,NR,Evergreen,CO,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alyssa Vigil,17,WR,5-4,140,NR,Pueblo,CO,NR,0,0,0,0,0,0,0,0,0,1,NR,0,179,15,48,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0
Kenzie May,20,WR,5-4,145,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elizabeth Engeldrum,23,RB,5-4,140,NR,Littleton,CO,NR,0,0,0,0,0,0,0,0,7,11,4,0,0,0,0,0,6,11,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grace Cooper,24,RB,5-6,195,NR,Elk River,MN,NR,0,0,0,0,0,0,0,0,125,55,15,1,24,3,10,0,29.5,18,1.5,1,0,0,0,0,0,0,0,0,0,2,1,5,56,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sarah Menne,25,WR,5-3,115,NR,Annapolis,MD,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaire Phelps,28,DL,5-7,155,NR,Denver,CO,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabihah Harrison,31,LB,5-0,165,NR,St Louis,MO,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelli Jones,33,DB,5-3,130,NR,Denver,CO,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarah Sifuentes,34,LB,5-2,185,NR,Dos Palos,CA,NR,0,0,0,0,0,0,0,0,0,1,NR,0,0,0,0,0,9.5,9,4.5,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Britney Derhak,36,FB,5-4,145,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
