Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Ericka Davis,1,RB,5-3,145,1997,Kansas City,MO,Texas Christian University,0,0,0,0,0,0,0,0,55,13,13,0,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anastasia Olavuo,3,LB,5-5,155,2001,Espoo,Finland,Kauhajoki College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,1,0,1,1,2,NR,0,0,0,0,0,0,0,0,0,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Maria Fautali,4,RB,5-5,135,1998,Junction City,OH,Cleveland State University,0,0,0,0,0,0,0,0,212,63,44,3,31,3,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Crystal Rhodes,5,DB,5-6,143,NR,Kansas City,MO,Longview Community College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kylee OConnor-Harrel,6,DB,5-7,135,1996,Eugene,OR,University of Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,4,0,6,94,19,0,1,31,31,0,1,25,0,25,0,0,0,0,0,0,0,0
Sheila Sickau,7,WR,5-8,143,1988,Eden,NY,Canisius College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,330,0,63,0,0,0,0,8,9,0,0
Tiia Jansen,9,TE,5-4,145,2002,Turku,Finland,Turku Vocational Institute,0,0,0,0,0,0,0,0,0,0,0,0,191,20,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Ashura Powell,10,WR,5-4,145,NR,Cleveland,OH,John Carroll University,0,0,0,0,0,0,0,0,0,0,0,0,61,2,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LaShanda Griffin,11,DB,5-7,147,1984,Jackson,MS,Jackson State University,0,0,0,0,0,0,0,0,2,1,NR,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nashi Catron,13,QB,6-0,200,1987,Los Angeles,CA,Pepperdine University,502,52,105,49.5,7,3,61,73.6,13,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brenna Morris,14,QB,5-6,130,1999,Omaha,NE,University of Kansas,21,3,4,75,1,0,13,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,167,0,37,0,0,0,0,0,0,0,0
