Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Diamond Brown,0,DL,5-8,178,2000,Houston,TX,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kennedy Banks,1,WR,5-8,130,2005,Houston,TX,Texas Southern University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Christina Jaques,5,QB,5-10,150,1988,Bridge City,TX,Belhaven University,216,17,60,28.3,0,6,28,2.5,3,20,11,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,0,0,0,0,0,2,33,0,22,0,0,0,0,0,0,0,0
Ariyan Hudson,7,QB,5-8,140,NR,Houston,TX,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0.5,0,0,1,5,5,0,0,0,0,0,1,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyhle Jamerson,8,WR,5-8,180,1985,Alexandria,VA,Harvard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liz LaFisca,9,LB,5-5,175,1996,Bethany,LA,Bossier City Community College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,158,0,30,0,0,0,0,1,1,0,0
Shantel Sherrod,14,DB,5-8,165,NR,Washington,DC,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coretta Hopkins,15,WR,5-7,135,1999,Pearland,TX,LeTourneau University,38,7,12,58.3,0,1,11,29.2,0,6,10,0,84,6,28,0,6,4,0,0,1,2,33,20,0,0,0,0,0,1,0,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsa Singer,16,RB,5-7,145,1993,Houston,TX,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loriage Reid,17,RB,5-6,140,NR,Houston,TX,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
