Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Tara Thomas,0,RB,5-4,145,1989,Dallas,TX,University of Miami and Texas Tech,0,0,0,0,0,0,0,0,103,16,37,1,92,11,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NR,0,5,93,47,1,0,0,0,0,3,0,0,0,0,0,0,1
Alyssa McCarron,1,DB,5-6,160,1999,Baton Rouge,LA,Millsaps,0,0,0,0,0,0,0,0,0,1,NR,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,84,0,38,0,0,0,0,0,0,0,0
Jasmine Coleman,2,WR,5-4,145,1993,Decatur,GA,South Carolina State University,0,0,0,0,0,0,0,0,0,0,0,0,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regena Jackson,3,DB,5-4,145,NR,Denham Springs,LA,Belhaven University,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAjah Scott,4,WR,5-8,165,1992,Washington,DC,Black Hawk College,0,0,0,0,0,0,0,0,125,12,54,3,204,19,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NR,0,6,142,63,1,0,0,0,0,5,0,0,0,0,0,0,1
Takera Mitchell,5,DB,5-6,150,1993,Waynesboro,MS,East Mississippi Community College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,2,47,38,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tenazhia Hinkson,6,WR,5-4,145,1996,San Diego,CA,Co-Lin / Dillard / Mississippi Univ. for W,0,0,0,0,0,0,0,0,0,0,0,0,35,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candice Davis,7,DB,5-3,160,1991,Greenwood,MS,USM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melyse Brown,8,QB,5-9,170,1993,Halifax,VA,Virginia Union University,1105,78,139,56.1,9,2,75,97.6,125,23,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Kristen London,9,DB,5-9,160,1987,Richmond,VA,Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,1.5,0,0,0,0,0,0,0,0,0,0,1,0,2,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
