Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School
Jadacee Vick,0,RB,5-7,150,NR,Utah,UT,Copper Hills High School
Laura Burnham,0,DB,NR,NR,NR,TBD,NR,TBD
Lanuola Jacobsen,0,DL,NR,NR,NR,TBD,NR,TBD
Breana Griggs,1,S,5-6,140,1993,Portland,OR,Central Catholic High School
Jane Brinkman,2,QB,6-0,173,1970,Wildomar,CA,University of Colorado
Christina Tela,3,DL,5-6,200,1980,Carson,CA,Southern Utah University
Maggie Justinak,4,LB,5-10,170,NR,Chassell,MI,MSU Denver
Nicole Attleson,5,DL,5-10,180,1983,Annabella,UT,Tooele HS and SLCC
Kelly Johnston,6,WR,6-0,155,1990,Madison,AL,University of Utah
Nicole Chaves,7,S,NR,NR,NR,TBD,NR,TBD
Olivia Green,8,RB,5-6,135,NR,West Jordan,UT,Weber State University
Sheri Kinder,9,S,5-8,150,1993,Bountiful,UT,SLCC
Sara Galica,10,QB,5-2,130,1991,Layton,UT,Weber State University
Natasha Johnson,11,RB,5-7,170,1985,Gulfport,MS,Harrison Central High School
Louise Bean,12,QB,5-6,165,1972,Mesa,AZ,Mesa High School
Brittney Bjork,13,RB,5-3,148,1995,Loveland,CO,Mountain View
Erin Miller,14,DB,5-7,150,1982,Honolulu,HI,Warner Pacific University
Sarah Yochem,15,QB,5-5,130,NR,Bloomingdale,IL,Lawrence University
Nina Wilkerson,16,LB,5-1,130,2007,Salt Lake County,UT,Bingham High School
Makayla Edwards,17,WR,5-5,120,NR,West Jordan,UT,Copper Hills High School
Courtney Gray,18,WR,NR,NR,NR,TBD,NR,TBD
Asherah Ulmer,20,LB,5-6,150,NR,Bountiful,UT,SLCC
Megan Robertson,21,LB,5-7,160,1990,Chesapeake,VA,University of Notre Dame
Maki Yamagata,22,DB,5-2,125,1973,Noboribetsu,Japan,University of Utah
Lacy Mile,23,LB,5-2,138,1988,Bellevue,KY,Northern Kentucky University
Masae Fualole Loua,24,OL,5-8,197,1998,Waipahu,HI,Bingham High School
Jenna Trahan,25,WR,5-2,100,2003,Houston,TX,Utah Valley University
Gina Mondragon,26,RB,5-1,126,2003,Salt Lake City,UT,Hunter High School
DaMaree Mitchell,27,RB,NR,NR,1993,TBD,NR,TBD
Ayanna Ford,28,WR,5-5,156,1997,Seattle,WA,Utah State University Eastern
Dakota Latimer,30,DB,5-6,130,2001,West Jordan,UT,SLCC
Alyssa Olson,31,S,5-7,140,1995,Nashville,TN,Brigham Young University
Jessica Cannon,32,LB,5-2,138,1994,New Baltimore,MI,Wake Forest University School of Law
Lydia Morgan,33,QB,5-3,120,1993,Gilbert,AZ,MSU Denver
Melanie Bartholomew,34,WR,5-5,150,1991,Salt Lake City,UT,University of Utah
Bergen Meyer,36,RB,5-4,152,1998,Salt Lake City,UT,University of Utah
Lexie Neslen,37,DL,5-8,183,1996,Salt Lake City,UT,University of Utah
Jennifer Southall,38,DB,5-2,140,2005,Los Gatos,CA,University of Oregon
Jadacee Vick,40,RB,5-7,150,NR,SLC,UT,Copper Hills High School
Melanie Hunter,42,DB,5-3,155,1988,Layton,UT,Weber State University
Nikki Gilbreth,43,OL,5-8,180,1991,Unknown,UT,University of Utah
Kristen Dietz,44,LB,5-6,150,1985,West Jordan,UT,WGU - Masters
Courtney Shaw,47,OL,5-4,310,1994,Tooele,UT,Stansbury High School
LiTara Faatili,48,OL,5-8,270,NR,American Samoa,AS,"Leone High School, UVU"
Ella Morgan,49,DL,5-2,180,2003,Riverton,UT,Utah Tech University
McKenna Morgan,50,DL,5-6,232,2001,Riverton,UT,Riverton High School
Tyree Hale,53,DL,5-7,182,2003,Herriman,UT,Riverton Highschool
Emry Miller,54,OL,5-8,200,NR,Provo,UT,Summit Academy High School
Jessie Warr,55,OL,5-9,250,1999,Draper,UT,Corner Canyon HS
Ashley Nguyen Lake,56,OL,5-2,180,2006,West Valley,UT,Hillcrest High School
Ramona Martinez,57,DL,5-9,190,NR,Bountiful,UT,Ben Lomand
Leialoha Tela,59,DL,5-7,220,1974,Pomona,CA,Alta High School
Aezioni Fuller,60,DL,5-9,280,1994,Bay Area,CA,Santa Rosa Junior College
Maria Hernandez Lucio,62,OL,NR,NR,NR,Tulare,CA,Tulare Western
Jennifer Court,64,DL,5-7,200,1980,Mountain View,WY,UVU & Argosy University
Dorothy Angilau,65,DL,5-3,213,1990,Kearns,UT,South Park Academy
Katherine Montgomery,68,OL,5-7,210,1985,Bountiful,UT,Utah State University
Montana Meier,70,DL,5-4,215,2003,Cottonwood,UT,Eagle Gate College
Margaret Pan,71,DL,5-6,220,NR,Tacoma,WA,Lakes High School
LaVerna Tela-Lesa,72,DL,NR,NR,NR,Tooele,UT,Tooele
Brynne Butterfield,73,OL,5-8,300,1982,Sandy,UT,Brigham Young University
Rosa Egbert,74,DL,NR,NR,NR,Orem,UT,UVU
Tauva Leiomiti,76,DL,5-11,305,NR,Long Beach,CA,Camp Meridian
Dorothy Angilau,77,DL,5-3,213,1990,Kearns,UT,South Park Academy
Gabrielle Kredel,79,OL,5-6,253,1988,Chino,CA,Cal Baptist University
Lanika Manning,80,DB,NR,NR,NR,LA,CA,Cal State Northridge
Anne Morgan,82,OL,5-11,175,NR,Draper,UT,Ameritech
Emmalee Munns,83,DL,5-2,230,1992,West Valley,UT,Hunter High School
Lainie Thompson,84,S,5-10,160,1990,American Fork,UT,Southern Virginia University
Rylee Fenrick,85,WR,5-8,150,2003,Las Vegas,NV,Utah Valley University
Melissa Chandler,87,LB,5-3,180,1977,Columbia,MD,University of Maryland
Alyssa Vigil,88,WR,5-4,145,1999,Pueblo,CO,University of Wyoming
Makayla Brown,89,DL,NR,NR,NR,Christiansburg,VA,Southern Virginia University
Sierra Call-Rust,90,DL,5-0,195,1996,Kingsport,TN,Southern Virginia University
Nancy Toutai,93,OL,NR,NR,1991,Fontana,CA,Etiwanda
Candace Jensen Lopez,96,OL,5-6,170,1979,Midvale,UT,Jordan High School
Cindy Cornell,97,DL,5-3,192,2003,Salt Lake City,UT,American Preparatory Academy
