Week Number,Month,Day (approx),Home Team Index,Away Team Index,Home Team Score,Away Team Score,Winning Team Index
1,3,28,9,2,41,2,9
1,3,28,19,1,0,36,1
1,3,28,13,15,33,0,13
1,3,28,4,3,7,37,3
1,3,28,17,14,12,13,14
1,3,28,16,12,12,16,12
1,3,28,6,5,6,14,5
1,3,28,7,8,14,6,6
2,4,4,6,2,18,14,6
2,4,4,12,7,6,26,7
2,4,4,19,4,31,2,19
2,4,4,15,17,0,21,17
2,4,4,1,3,28,13,1
2,4,4,5,9,18,16,5
2,4,4,14,16,13,50,16
2,4,4,8,13,24,0,8
3,4,11,116,8,,,
3,4,11,3,15,,,
3,4,11,9,6,,,
3,4,11,2,19,,,
3,4,11,4,1,,,
4,4,18,17,16,,,
4,4,18,14,12,,,
4,4,18,7,13,,,
4,4,18,5,4,,,
5,4,25,8,17,,,
5,4,25,1,19,,,
5,4,25,13,12,,,
5,4,25,15,7,,,
5,4,25,3,5,,,
6,5,2,16,14,,,
6,5,2,17,15,,,
6,5,2,9,1,,,
6,5,2,19,6,,,
6,5,2,2,3,,,
7,5,9,13,16,,,
7,5,9,12,14,,,
7,5,9,15,8,,,
7,5,9,7,9,,,
7,5,9,6,4,,,
7,5,9,5,2,,,
8,5,16,12,17,,,
8,5,16,14,13,,,
8,5,16,8,7,,,
8,5,16,4,9,,,
8,5,16,2,6,,,
8,5,16,1,5,,,
8,5,16,3,19,,,
