Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School
Ericka Davis,1,RB,5-3,155,1997,Kansas City,KS,Texas Christian University (TCU)
Fanny Feldman,3,RB,5-3,137,NR,Evanston,IL,NIU
Maria Fautali,4,RB,5-4,135,1998,Cleveland,OH,Akron University
Crystal Rhodes,5,DB,5-6,143,1996,Kansas City,MO,Longview Community College
Shelia Sickau,7,P/K,NR,0,1988,Eden,NY,SUNY Binghampton
Alyssa Gillespie,8,DB,5-4,140,2001,Howard,KS,Ottawa University
Laila Finley,9,DL,5-10,165,2006,Jacksonville,FL,Graceland University
Ashura Powell,10,WR,5-6,174,1997,Cleveland,OH,John Carroll University
Olivia Wilson,11,DB,5-6,140,2004,Los Angeles,CA,Colorado State University
Janiah Bond-Clough,12,WR,5-5,130,2004,Bonner,KS,Bonner Springs High School
Keyla Rea,13,WR,5-4,135,2007,Ossining,NY,"Ossining High School, Graceland University"
Brenna Morris,14,QB,5-7,135,1999,Omaha,NE,University of Kansas
Solana Sperry,15,DB,5-7,140,1999,Kansas City,MO,Crest Ridge High School
Rilee Irby,16,WR,5-2,130,2005,Olathe,KS,Olathe North High School
Marine Paris,17,QB,5-3,134,1993,Toulouse,NR,n/a
Jerrica Johnson,18,WR,5-4,140,2000,Dallas,TX,University of Saint Mary
Grace Cooper,19,RB,5-7,188,NR,Elk River,MN,Bethel University
Viktoria Donetz,20,WR,5-8,170,1998,Hoisington,KS,Washburn University
Racquell Ray,21,DB,5-3,135,1990,Kansas City,MO,University of Tulsa
Moriah Thomas,22,DB,5-7,155,2001,Leavenworth,KS,Lansing High School: Butler Community College
Diana Johnson,25,DB,5-4,125,2001,Kansas City,MO,North Kansas City
Imani Nettles,27,LB,5-5,170,2000,Phoenix,AZ,Arizona State University
Zaya Dove,29,RB,5-3,157,2003,Kansas City,MO,University of Kansas City - Missouri
Rachel Slamin,32,DB,5-4,135,2001,Overland Park,KS,Shawnee Mission West
Kassidy Snowden,33,DB,5-5,165,1995,Nashville,AR,Avila University
Brooke Tanner,34,DB,5-3,140,2003,Jefferson City,MO,UMKC
Ronnise Wilson,36,LB,5-1,170,1989,Los Angeles,CA,Park University
Hannah Leonard,38,WR,5-6,153,1998,Liberty,MO,University of Missouri Kansas City
Aundrea Colbert,42,WR,5-8,150,2006,Kansas City,MO,Belton High School
Marielle Alexander,47,WR,5-6,160,1991,Liberty,MO,Liberty High School
Kelly Whitehead,49,LB,5-8,176,NR,Adelaide,Australia,Flinders University
Dajia Anderson,50,DL,5-4,175,NR,Topeka,KS,Ottawa University
Nova Nyström,52,OL,5-7,212,2006,Stockholm,NR,Celsiusskolan
Theresa Honeycutt,53,OL,6-0,250,1991,Seward,NE,University of Nebraska - Lincoln
Kyla McBride,54,DL,5-8,190,1999,Grain Valley,MO,Truman State University
Yohnee Miller,55,OL,5-5,250,1983,Brooklyn,NY,N/A
Brittany OConnor,56,DL,5-10,210,1993,Lexington,KY,Portland Community College
Andrea Kelley,58,WR,5-4,135,1988,Garrett,KS,Neosho County Community College
Markell Marquez,60,DL,5-6,175,1998,Kamuela,Hawaii,Honoka‘a High & Intermediate
Rhey Acevedo,63,DL,5-7,235,1983,Los Angeles,CA,Wentworth Military College
Julia Viles,64,OL,5-6,175,1991,Karlsruhe,Germany,UMKC
Luma Barbedo,70,OL,6-0,245,NR,Overland Park,KS,Blue Valley Northwest
Macie Ables,71,OL,5-7,280,2010,Olathe,KS,Missouri Valley College
Najma Muhammad,72,DL,5-7,225,1998,Detroit,MI,Michigan State University
Veronica Wiebold,74,OL,5-6,200,1996,Westphalia,MO,Benedictine College
Cambria Davis,77,OL,5-9,270,1999,Blue Springs,MO,Colorado State University Global
Jenessa White,83,TE,5-8,240,1991,St. Paul,MN,University of Minnesota
Tori Spann,97,WR,5-8,135,1995,Wichita,KS,Alcorn State University
Sasha Hendrix,99,DL,5-8,212,1992,Houston,TX,Prairie View A&M
