Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School
Miriah Lopez,1,WR,5-3,135,1994,Dallas,TX,Texas State University
Angie Hamilton,2,DB,5-6,150,1983,Cambridge,MA,Kennesaw State
Marissa Lopez,5,QB,5-5,145,1993,Dallas,TX,Bachelor In Science and Health
Ricki Alex,6,QB,5-11,150,1992,Los Angeles,CA,FIU
Brooklyn Riley,7,DB,NR,NR,2001,Los Angeles,CA,Morris Sunset High
Jazmin Gamble-Tello,9,LB,5-5,200,1990,Bakersfield,CA,Mt. Diablo High
Jasmine McDonald,10,S,5-4,165,1987,Redlands,CA,USC
Alysia Dominguez Bisquera,11,DB,5-3,120,1987,Santa Barbara,CA,Santa Barbara High
Alexis Dixon Fontaine,13,WR,5-3,120,1992,Miami,FL,Miami Northwestern High
Crystal Johnson,14,WR,5-7,150,NR,Houston,TX,NR
Kayla Chambers,15,DL,5-9,155,1992,Inglewood,CA,Evans High School
Mallory Torres,19,WR,5-0,129,1994,El Monte,CA,Cal State Northridge
Darnisha Lee,21,DL,5-10,170,1993,Los Angeles,CA,Gardena High
AuBree Barnes,22,OL,5-2,150,1996,Costa Mesa,CA,Canyon View HS
Annsleigh Anderson,23,S,5-5,165,2004,Dallas,TX,TBD
Olivia Johnson,24,OL,5-6,200,1991,San Clemente,CA,San Clemente High
Ryan Meismer-Thompson,26,DB,5-6,125,2004,Los Angeles,CA,Cal State Northridge
AuBree Barnes,33,OL,5-5,180,1996,Cedar City,UT,TBD
Dannielle Lawrence,33,DL,5-10,165,1988,Los Angeles,CA,UCLA
Salina Samario,35,DB,5-8,160,1994,El Monte,CA,El Monte High
Priscilla Petersen,36,LB,5-7,210,NR,Los Angeles,CA,South Pasadena High
Laura Bongers,37,WR,5-10,135,2000,Dallas,TX,Detroit Country Day School
Meagan Curtis,38,RB,5-8,175,1997,Los Angeles,CA,Redondo Union High School
Keisha Howard,40,DL,5-6,175,1980,California,CA,El Camino
Rachel Love,43,DL,5-7,175,1991,Venice,CA,Venice High
Lauren Davis,44,DL,5-7,180,1982,Compton,CA,Masters in Behavior Analysis
Precious Moses,50,LB,5-6,210,1994,Victorville,CA,NR
Darlene Martinez,54,OL,5-5,182,2005,Monrovia,CA,Morovia High
Stephanie Lopez,55,LB,5-3,180,1990,East LA,CA,Garfield High
Ashleigh Hayes,56,OL,5-6,230,1985,Long Beach,CA,Canyon Springs High
Shaina Cato,59,OL,5-7,260,1984,Compton,CA,CSDHU
Mila Porter-Lawson,62,OL,5-8,200,1998,Oakland,CA,SMC
Mercy Molina-Guevara,62,OL,5-5,210,1991,Pacoima,CA,PCC
Amari Trevino-Beverly,62,LB,5-8,245,2003,Irvine,CA,Saddleback College
Gabrielle Madden,65,OL,5-9,220,1995,Seattle,WA,NR
Tiffany Gonzales,70,OL,5-2,190,1981,Los Angeles,CA,Rio Hondo College
Matalya Johnson,75,DL,5-5,165,2000,Long Beach,CA,Dominguez High
Angelina Faulkner,76,OL,5-5,215,1986,Chula Vista,CA,NR
Samantha Vasquez,77,OL,5-7,240,1993,Downey,CA,NR
Sabrina Casillas,79,OL,5-10,300,2001,Downey,CA,Downey High School
Echo Le Vell,84,DB,5-7,160,1990,Pomona,CA,Garey High
Olivia Morgan,85,WR,5-7,170,1988,Santa Cruz,CA,University of Nevada
Malaysia Quimby,87,TE,5-10,220,1987,Orange,NJ,Cal State LA
Tina Orrick,90,OL,5-6,245,2001,Mammoth Lakes,CA,Mammoth High
Autumeize Gardner,90,OL,6-1,350,1998,Cleveland,OH,Richmond Heights
Jessica Phillips,93,DL,5-9,315,1993,Compton,CA,Carson High
Shardae Anderson-Bell,95,OL,5-4,180,1986,Inland Empire,CA,San Bernadino College
