Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School
Yasmene Harris,0,DB,5-7,155,1989,NR,NR,NR
Savannah Morefield,2,DL,5-7,175,2005,NR,NR,NR
Zomi Anderson,3,DL,5-9,250,1989,NR,NR,NR
Anissa Babitu,4,LB,5-5,229,2001,NR,NR,NR
Krista Seaman,6,CB,5-5,140,1992,Lawrence,KS,University of Texas at Austin
Jada Hampton,7,RB,5-6,150,1995,NR,NR,NR
Vanessa McGinnis,8,WR,5-6,164,1989,NR,NR,NR
Kay Lewis,9,WR,5-5,150,1997,West Orange,NJ,University of Nevada
Jocelyn Fernandez,11,DB,5-4,150,1998,Santa Fe,NM,Weatherford College
Virginia Kim,13,DB,-,NR,NR,NR,NR,NR
Alaina Valmassei,20,QB,5-7,135,NR,NR,NR,NR
Sydney Lambert,21,DB,5-7,140,NR,NR,NR,NR
Molly Tester,23,LB,5-2,170,1993,Grapeview,WA,Olympic College
Kellye Lofquist,25,RB,5-6,170,1990,Seattle,WA,N/A
Erica Jackson,26,DL,5-7,149,1999,Tacoma,WA,Western Washington University
Adriana Gutierrez,27,RB,5-2,159,1997,San Diego,CA,San Diego State
Alexandra Sweet,33,LB,5-6,186,1987,Burien,WA,South Seattle Community College
Thalia Sweet,35,LB,5-4,183,NR,NR,NR,NR
Madalyn Garrison,38,WR,5-6,130,2004,Woodinville,WA,University of Washington
Jennifer Erickson,41,WR,5-4,150,1984,Seattle,WA,University of Washington
Rachell Sims,42,LB,-,NR,NR,NR,NR,NR
Rachel Davis,50,RB,5-7,238,NR,NR,NR,NR
Nina Gomez,53,OL,5-4,220,1978,NR,NR,NR
Naomi Lee,54,OL,5-3,170,1994,Federal Way,WA,George Fox University
Shelby Buren,56,OL,5-4,233,1992,Kent,WA,Olympic College
Jamari Avery,60,DL,5-11,317,NR,NR,NR,NR
Alexa Rummel,69,OL,6-0,285,2000,Quakertown,PA,West Virginia University
Ajane Rosen Lawton,74,OL,5-7,213,1995,NR,NR,NR
DaNi Jolley,75,OL,5-5,300,2000,NR,NR,NR
Marlen Garces,77,DL,5-10,182,1977,Mexico City,MX,Universidad Autonoma Metropolitana
Lauren Butz,83,WR,5-4,145,2000,Wilmington,NC,Western Carolina University
Monica Salazar,85,WR,4-11,166,1996,Cali,Colombia,NR
Sav Congdon,89,WR,5-5,126,2000,Chapel Hill,NC,Western Carolina University
Chelsea Monsees,90,OL,5-8,200,1998,NR,NR,NR
Evett Van Beek,96,QB,5-4,210,1982,NR,NR,NR
Sam Rozell,98,OL,5-7,240,1998,NR,NR,NR
Bianca Mouton,99,DL,5-5,231,1990,Fort Worth,TX,North Seattle College
