Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School
Jacqueline Lopez,1,RB,5-3,130,1996,La Crescenta,CA,Cinema Makeup School
Camille Wilson,2,RB,5-4,150,1998,Portland,OR,University of Phoenix
Cheyene Adkins,3,RB,5-3,140,1991,Vancouver,WA,College Grad
Kennetta Murry,5,RB,5-9,186,1977,Dallas,TX,Dillard Univ
Vanessa Palmeri,7,QB,5-4,180,1992,Portland,OR,SUNY Cortland
Isabelle Bartter,9,TE,5-5,132,1988,Tualatin,OR,Houghton Univ
Holly Hannah,10,TE,5-10,155,1986,The Dalles,OR,SUNY Fredonia
Anastasia Dawson,14,RB,5-9,136,2002,Hillsboro,OR,Century HS
Jenna Sukle,17,LB,5-6,135,1990,Scio,OR,Linn Benton Comm College
Courtney Chidley,19,RB,5-10,150,1997,Gresham,OR,OSU
Sarah Cabot,21,LB,5-7,145,1979,Tigard,OR,UC Santa Barbara
Brenda Paz,26,RB,5-3,166,1991,Vancouver,WA,Clark College
Kola Thompson,29,LB,5-5,195,1989,Pendleton,OR,Upper Columbia Co
Erica Mathia,33,OL,4-11,127,1990,Gresham,OR,Concorde Career Co
Kelsea Phillips,36,RB,5-3,165,1991,Salem,OR,George Fox Univ
Jessica Gerdes,37,OL,5-6,200,1989,Gladstone,OR,Chemeketa Comm Co
Rheanna Deeds,41,OL,6-0,200,1989,Vancouver,WA,Clark College
Christina Landers,44,OL,5-3,205,1987,Vancouver,WA,Portland State Univ
Sarah Levin,45,QB,5-6,150,1990,Portland,OR,Baton Rouge CC
Whitney Gifford,47,LB,5-8,215,1993,Sheridan,WY,University of Wyoming
Tianna Bell,52,LB,5-6,220,1998,Happy Valley,OR,Univ of Arizona
Carolynn Torve-Williams,56,OL,5-3,223,2000,Spokane,WA,Gonzaga Univ
Lyrica Arielle Macdonald,61,OL,5-6,270,1999,Aloha,OR,Portland Comm Co
Laylee Dieringer,62,OL,5-7,290,2004,Beaverton,OR,Carrington College
Katelyn Bailey,63,OL,5-7,240,1987,McMinnville,OR,UC Davis
Sydney Jessup,66,OL,5-10,185,2006,Vancouver,WA,Clark College
Ashley Watkins,67,LB,5-5,250,1984,Sheridan,OR,Willamette Univ
Sierra Cornell,68,DL,5-4,170,1995,Dallas,OR,Dallas HS
Loren Diaz,70,OL,5-1,205,1987,Molalla,OR,Apollo College
Guadalupe Korpie,72,OL,5-6,240,1992,La Puente,CA,Charter College
Karli Singrey,73,OL,5-9,240,NR,Portland,OR,Beaverton High School
Brianna Marks-Green,75,OL,5-6,219,1992,Portland,OR,Rosi Hinton High School
Tori Dixson,76,OL,5-11,255,1992,Gladstone,OR,Concordia Univ
Taylor Coleman,77,TE,5-5,175,2000,Beaverton,OR,Century HS
Vernisha Tavares,77,DL,5-7,243,1992,Vancouver,WA,Portland State Univ
Kassiah Sage Moore,78,OL,5-6,266,2002,Tigard,OR,Tigard High School
Britt Hennings,83,RB,5-4,125,2002,Cologne,GER,"Leibniz Univ, Hannover"
Chloe Porter,84,RB,5-10,160,1990,Portland,OR,University of Kansas
Andrea Jones,85,RB,5-10,150,1991,Vancouver,WA,CWU & Warner Pac Univ
Ashlea Moore,86,RB,4-11,120,1996,Tualatin,OR,OIT College
Taylor Coleman,88,WR,5-5,175,2000,Beaverton,OR,Century High School
Alexis Greer,94,DL,5-9,310,1997,Beaverton,OR,Portland State Univ
Kaitlynn dela Pena,95,OL,5-7,330,1995,Portland,OR,Portland Comm College
Winry Vitkovich,96,OL,5-8,340,1989,Salem,OR,Arizona State Univ
