Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School
Amani El Amin,0,RB,5-6,135,1992,San Diego,CA,Sacramento State
Brittani Lusain,1,LB,5-8,175,1995,San Diego,CA,Northern Arizona University
Joann Mamuyac,3,DL,5-4,215,1988,San Diego,CA,Arizona State University
Jennifer Strother,4,P/K,5-5,195,1971,Escondido,CA,Grand Canyon University
Daisy Avila,5,DB,5-4,190,1996,Ossining,NY,Liberty University
Laurisa Hollenshed,7,LB,5-6,175,1988,Lancaster,CA,University of Antelope Valley
Alia Karmali,8,QB,5-8,197,1984,Edmonton,Canada,University of Sydney
Katie Claxton,10,LB,6-0,200,1998,Whittier,CA,San Diego State University
Jamie Blue,11,WR,5-10,165,1999,Twentynine Palms,CA,Lackawanna College
Diana Huynh,12,DB,5-2,135,1988,Corona,CA,Mt. San Antonio Community College
Natalia Brown Quinones,13,WR,5-4,128,2005,Tijuana,Mexico,Chula Vista Adult School
Taranisha Taylor,14,WR,5-6,135,1994,Portsmouth,VA,National University and University of SC
Shonte Williams,15,DB,5-3,135,1990,San Diego,CA,San Diego Community College District
Imelda Elizabeth De Leon,16,WR,5-6,150,1983,Tijuana,Mexico,Southwestern College
Danny Trainor,17,QB,5-7,162,1995,Beaverton,OR,Sunset
Harmine Christina Leo,18,DB,5-5,144,1992,Montreal,Canada,McGill University
Tynisha Dossman,19,DB,5-8,165,1985,Richmond,CA,Grambling State University
Lauren Blaser,20,WR,5-4,150,1994,Milwaukee,WI,Wauwatosa East High School
Stacy Primeaux,21,LB,5-3,167,1985,Crowley,LA,Crowley High School
Elisa Nguyen,22,LB,5-4,160,1989,San Diego,CA,San Diego State University
Jennifer Ingargiola,23,RB,5-4,190,1991,Colorado Springs,CO,Colorado State University - Pueblo
Kesz Wesley,24,RB,5-7,145,1992,Dallas,TX,Santa Monica College
Alicia Zappia-Neeley,25,DB,5-2,125,1999,San Diego,CA,Cal State San Marcos
Melina Malaxos,26,RB,4-11,110,2001,Stockholm,Sweden,Swedish University
Gianna Zamora,27,WR,5-6,153,1997,Tucson,AZ,University of Arizona
Kim Cade-Henry,29,LB,5-3,200,1979,Los Angeles,CA,Los Angeles Valley College
Christin Stoll,32,WR,5-8,180,1984,Fallbrook,CA,Palomar College
Cachrelle Nguyen,33,LB,5-4,195,1990,Los Angeles,CA,University of Southern California
Aylin Alejandra Rivera Rivera,36,TE,5-8,176,2001,Saltillo,Mexico,Tecnologico Nacional de Mexico
Irlanda Diaz,43,DL,5-6,141,1994,Chihuahua,Mexico,Universidad CEU - Maestria UANL
Jensine Alvarez,45,TE,5-11,176,1993,Lumberton,NC,Hawaii Hair Institute
Knengi Martin,47,LB,5-11,210,1983,Palo Alto,CA,NA
Krisja Norman,49,RB,5-6,140,1996,New York,NY,NA
Kyvondra Toalepai,50,OL,5-9,265,1994,Samoa,NA,Tafuna High School
Monica Johnson,51,DL,5-9,180,1985,El Cajon,CA,University of San Diego
Ronnika Burks,53,OL,5-6,295,1988,San Diego,CA,San Diego State University
Felicia Lilo,54,DL,5-7,210,1984,San Diego,CA,Morse High
Lorena Diaz,55,OL,6-1,187,NR,Chihuahua,Mexico,ITESM
Shelby Presley,56,DL,5-8,198,1992,Temecula,CA,University of Hawaii
Sabrina Kessler,59,DL,5-9,200,1983,Long Beach,CA,El Camino College
Greys Bernal,64,OL,5-7,220,1993,Los Mochis,Mexico,NA
Rebecca Munoa,65,OL,5-10,235,1981,Pechanga Indian Reservation,CA,CSUSM
Rea Schmidt,66,OL,5-10,234,1987,Munich,Germany,Ludwig-Maximilians-Universitat Munchen
Johanna Aspenberg,70,OL,5-7,238,1996,Lidingo,Sweden,Mittuniversitetet Sundsvall
Annamarie Fagnani,71,DL,5-9,235,1987,Philadelphia,PA,UDHS
Tanya Luna,77,OL,5-8,238,1988,Oceanside,CA,Ashford University
Martha Gomez,80,DL,5-7,214,1989,San Diego,CA,Vocational Training
Jocelyn Charette,84,P/K,5-10,160,1988,Seattle,WA,UW
Whitney Harrison,85,DL,5-6,180,1985,Dallas,TX,Cal State Long Beach
Christina Jordan,87,WR,5-4,150,1987,Seattle,WA,University of Texas at San Antonio
Jazpony Harris,88,DB,5-3,130,1995,Bastrop,LA,Art Institute
Tess McCann,91,DL,5-7,180,1991,San Diego,CA,Sonoma State University
Alyshia Tauanuu,92,OL,5-7,240,1985,Long Beach,CA,UEI
Alayah Lewis,93,DL,5-3,190,1993,Washington,DC,Southern New Hampshire University
Faatupu Malaulu,95,OL,5-7,290,1999,San Diego,CA,NA
Similiti Lealiki,97,DL,5-4,250,1990,Tongatapu,Tonga,Rancho High School
