Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School
Isabel Warren,0,WR,5-6,160,2000,Reno,NV,TBD
Kali Jones,1,WR,6-2,172,1997,Denver,CO,Kansas State University
Sigourney Gonzalez,3,QB,5-4,169,1988,Las Vegas,NV,University of Reno
Brynn McNabb,4,WR,5-7,145,2003,Saskatchewan,Canada,UNR
Beatriz Rico,6,LB,5-7,184,2004,Las Vegas,NV,TBD
Sarah Antonie,7,DB,5-8,145,1988,Quicy,CA,"University of CO, Colorado Springs"
Marico Davis,8,DB,5-5,165,NR,Ewa Beach,HI,WGU
Aleesah Wilson,11,RB,5-4,140,2005,Las Vegas,NV,Bethel College
Thaycha Rodriguez,12,QB,5-9,170,NR,Patterson,NJ,TBD
Tehya Demski-Hamelin,13,DB,5-4,128,1992,Ashburnham,MA,"Univ of Mass, Amherst"
Christina Vollrath,14,WR,5-3,130,1997,Sacramento,CA,TBD
Mariah Makupson,15,LB,5-3,180,1994,Seattle,WA,TBD
Alyssa Lorbiecki,16,QB,5-6,127,1997,Modesto,CA,WGU
Andrea Wright,17,LB,5-1,155,1991,Los Angeles,CA,TBD
Sydney Holt,22,DB,5-3,140,1997,Federal Way,WA,University of Idaho
Genessa Bingham,23,RB,5-6,195,NR,Fayetteville,NC,UNLV
Courtney Powell,24,DL,5-7,210,1993,St Louis,MO,Northwest Missouri State University
Janiah Lee,25,DL,5-3,158,2002,Las Vegas,NV,TBD
Kristin Carter,26,LB,5-4,170,1995,Oakland,CA,UNR
Aria Wagaman,27,LB,5-9,150,2003,West Jordan,UT,TBD
Carrie Walters,29,QB,5-6,170,1973,Las Vegas,NV,Chapman University
Rachel Lund,30,OL,5-11,170,1994,Lancaster,CA,Fresno State
Charnel Archer,32,OL,5-7,181,1999,Las Vegas,NV,TBD
Keanu Malala,33,LB,5-4,157,NR,Pago Pago,American Samoa,Heald College
Brittaney Warren,43,OL,5-7,330,1992,Las Vegas,NV,TBD
Elizabeth Spence,45,RB,5-2,133,NR,Gardena,CA,TBD
LaQuanta Glass,47,DL,5-5,160,1989,Compton,CA,Welders and A+ Computers
Jordyn Williams,49,OL,5-5,204,2001,Las Vegas,NV,UNLV
Jayna Valdez,52,LB,5-3,150,2002,Las Vegas,NV,Unity College
Jerrica Davenport,55,OL,5-10,185,1989,Longview,WA,EWU
Tiffani Penix,58,DL,5-6,170,1991,Las Vegas,NV,"St Louis, MO"
Monique Garcia,59,OL,5-9,280,NR,San Fernando,CA,Concorde Career College
Shonna Williams,60,LB,5-6,185,NR,Riverside,CA,North West Career College
Tawny Hall,63,OL,5-2,180,1993,Ewa Beach,HI,Northwest Career Academy
Ayana Mcafee,65,OL,5-2,215,NR,Las Vegas,NV,Nevada State University
Azalia Allen,66,OL,5-7,257,1993,Yuma,AZ,Universal Technical Institute
Jessica Hill,68,LB,5-5,190,1990,St Joseph,MO,BA
Xebulynn Whitney,69,OL,5-5,190,1994,Pinedale,WY,TBD
Kailima Ross,70,LB,5-6,185,1983,Waimea,HI,TBD
Dayton Yingling,72,TE,5-4,190,1996,Las Vegas,NV,Benedictine University
Caitlynn Jones,73,OL,5-10,280,1992,Conway,SC,TBD
Trevez Bridgewater,77,DL,5-8,175,NR,Nassau,Bahamas,"Colorado State Univ, Pueblo"
Dominique Maloy,88,WR,5-2,122,1989,Seattle,WA,Arizona State University
Chelcie-Maree Weaver,93,DL,5-4,210,1994,Kalihi Valley,HI,University of Arizona
Dora Alvarez,96,OL,5-2,195,1989,Los Angeles,CA,Sonoma State University
Barbriel Crudup,99,OL,5-10,215,1986,Los Angeles,CA,PIMA Medical Institute
