Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School
Alma Rauline Martinez,1,DB,5-6,145,1997,Stockton,CA,Cochise College
Ellie Gilbert,2,WR,4-11,105,NR,San Rafael,CA,College of Marin
LaQue Moen-Davis,3,DB,6-2,170,NR,Omaha,NE,Texas A&M
Sylvia Sloss,4,WR,5-4,140,1999,Penryn,CA,Oregon Tech
Inaya Freeman,5,DL,5-2,215,1999,Chicago,IL,Alcorn State University
Jaiden Rogers,6,DB,5-4,130,NR,Des Moines,IA,Iowa Western University
Iyona Copeland,8,WR,5-9,155,1993,Sacramento,CA,San Jose State University
Kris Grimes,9,RB,5-3,200,1992,Compton,CA,Southern Illinois University
Julysil Paycoan,10,RB,4-10,130,2005,San Jose,CA,San Jose City College
Kiana Gordon,11,WR,5-6,140,NR,San Jose,CA,San Jose State University
Stephanie Elizondo,12,QB,5-10,210,2000,Bakersfield,CA,Fresno State
Paulina Lopez,13,LB,5-2,145,1999,Zacatecas,Mexico,UAZ
Brandi Ransom,14,WR,5-11,170,1996,Houston,TX,Stanford
Liv Offenbach,15,DB,5-5,135,NR,San Rafael,CA,NR
Dorothy Mao,16,DB,5-7,170,2001,Katy,TX,UC Berkeley
Alexis Contreras,17,WR,5-6,146,NR,Modesto,CA,NR
Darla Espinosa,19,DL,5-3,180,NR,San Jose,CA,NR
Angelica Sofia Garcia Rivera,22,LB,5-2,153,2002,Queretaro,Mexico,NR
Morgan Lewis,23,DB,5-9,150,1998,Elk Grove,CA,San Jose State University
Franziska Diegel,24,DB,5-8,145,NR,Bremen,Germany,NR
Shaniqua Bennett,25,DL,5-9,170,1990,Statesboro,GA,Georgia Tech
Alyssa Dixon,26,OL,5-4,190,1996,Prunedale,CA,Monterey Peninsula College
Taylor McGhee,27,DL,5-4,195,1999,Oakland,CA,Laney College
Chyna Cole,28,DB,5-6,140,1991,Oakland,CA,De Anza College
Esperanza Poyle Maciel,29,DB,5-1,140,1996,San Jose,CA,Overfelt High School
Brianna Rastello,31,LB,5-5,160,1995,Boston,MA,Simmons University
Jenji Lee Hooker,33,DL,5-5.5,230,NR,Oakland,CA,NR
Sydney Dela Cruz,36,RB,5-0,150,NR,San Jose,CA,University of New Haven
Leilani Caamal,43,LB,5-5,155,2005,Denver,CO,Ottawa University
Jocelyn Howard,44,DB,5-5,128,NR,Detroit,MI,JSU
Angelina Tuakalau,45,DL,5-5,315,NR,Oakland,CA,NR
Sierra Le Grande,46,DB,5-8,155,2004,Stockton,CA,San Joaquin Delta College
Nakisha Harris,47,DL,5-7,200,1978,Chowchilla,CA,NR
Olga Valdez,50,OL,6-4,275,NR,DGO,Mexico,NR
ZiArion Hutsell,51,DL,5-3,180,NR,Las Vegas,NV,Chico State University
Courtenay Williams,52,OL,6-1,220,1990,Sacramento,CA,Southern Oregon University
Charmaine Bradford-Airy,54,LB,5-2,170,1996,East Palo Alto,CA,Northwest University
Brittenee Johnson,55,OL,5-8,190,1997,Berkeley,CA,Chabot College
Zay Dollente,60,OL,5-6,295,NR,Honolulu,HI,Clover Park Technical College
Mary Lee,62,OL,5-4,200,NR,Berkeley,CA,NR
Sierra Cash,63,OL,5-8,230,NR,Oakland,CA,Chabot College
Victoria McIntyre,64,OL,5-7,380,NR,Concord,CA,Diablo Valley College
Jasmine Holland,67,DL,5-6,175,NR,Oakland,CA,NR
Sarah Guerra,72,OL,5-5,205,NR,Moses Lake,WA,NR
Mahiya Ellis,77,DL,5-8,287,NR,Texarkana,TX,UC Berkeley
Dominique Stewart-Thomas,82,WR,5-4,140,1991,Oakland,CA,UC Riverside
Rayna Lorraine,84,DL,5-4,130,NR,Seattle,WA,Portland State University
Alyson Azevedo,98,LB,5-5,170,2000,Gustine,CA,Sonoma State University
Claire Nickison,99,OL,5-7,300,1998,San Mateo,CA,San Jose State University
