player_name,player_number,position,height,weight,birth_year,hometown,home_state,school,passing_yards,passing_comp,passing_att,passing_pct,passing_td,passing_int,passing_long,passing_rating,rushing_yards,rushing_carries,rushing_long,rushing_td,receiving_yards,receiving_rec,receiving_long,receiving_td,tackles_solo,tackles_assists,tackles_for_loss,sacks,forced_fumbles,interceptions,interception_return_yards,interception_return_long,interception_return_td,fumble_recoveries,fumble_return_yards,fumble_return_long,fumble_return_td,pass_deflections,blocked_kicks_and_punts,kickoff_returns,kickoff_returns_yards,kickoff_returns_long,kickoff_returns_td,punt_returns,punt_return_yards,punt_return_long,punt_return_td,punts,punting_yards,punting_touchbacks,punting_long,touchdowns,field_goals,field_goal_att,field_goal_long,pat_kicks,pat_kicks_att,safeties,pat_conversions,season,team,nr
Molly Richardson,1.0,QB,5-4,130,1989,Jacksonville,FL,Rose-Hulman Institute of Technology,424,52,137,38.0,1,11,NR,15.6,24.0,26,12,0,7,1,7,0,1.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Paige Jones,3.0,LB,5-2,144,1985,Jacksonville,FL,Florida State College of Jacksonville,0,0,0,0.0,0,0,0,0.0,45.0,18,18,1,30,4,10,0,4.0,1.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2023,Avengers,
Leslie Hubbell,4.0,S,5-7,155,1978,Baltimore,MD,San Diego State,0,0,0,0.0,0,0,0,0.0,8.0,3,6,0,0,0,0,0,10.0,7.0,1.0,0.0,0,0,0,0,0,1,0,NR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Brianna Daniel,5.0,QB,5-7,135,1996,Newport News,VA,NR,56,8,29,27.6,0,2,NR,10.8,0.0,1,NR,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,30,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Sydney Smith,6.0,DB,5-6,130,2000,Savannah,GA,Georgia Southern University,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,4.0,2.0,0.0,0.0,0,1,8,8,0,0,0,0,0,0,0,2,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Tiffany Sarroca,7.0,WR,5-5,130,1991,Jacksonville,FL,FSCJ,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Chrystin Lucas,8.0,WR,5-5,160,2004,Jacksonville,FL,NR,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Shanysse Emerenciana,9.0,WR,5-3,130,1996,Willemstad,Curacao,Florida Tech,0,0,0,0.0,0,0,0,0.0,7.0,2,15,0,48,6,24,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,57,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Xiarysse Emerenciana,10.0,WR,5-2,132,1996,Willemstad,Curacao,Florida Tech,0,0,0,0.0,0,0,0,0.0,6.0,1,6,0,56,4,21,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Rebeka Bell,11.0,WR,5-1,110,1990,St Augustine,FL,Saint Leo University,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Shauna Floyd,18.0,DB,5-5,150,1998,Savannah,GA,Grand Canyon University,0,0,0,0.0,0,0,0,0.0,10.0,12,8,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Camise Patterson,20.0,RB,5-3,154,1992,Fuquay-Varina,NC,Campbell University,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Aurieyall Scott,21.0,RB,5-8,145,1993,Orlando,FL,University of Central Florida,0,0,0,0.0,0,0,0,0.0,35.0,12,10,0,14,4,11,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
