team_index,team_name,division,team_website,home_field,home_field_city,home_field_state,phone_number,team_email,head_coach,assistant_hc,offensive_coordinator,defensive_coordinator,special_teams_coordinator,general_manager,assistant_general_manager,director_of_operations,owner,pct,pf,pa,home_wins,home_loss,home_ties,road_win,road_loss,road_tie,div_win,div_loss,div_tie,non_div_win,non_div_loss,non_div_tie,streak,season
16,Atlanta Phoenix,Atlantic,https://www.atlphnx.com/,Decatur High School,Atlanta,GA,404-981-5994,werise@atlantaphoenix.net,Moncrief Hart,NR,NR,NR,NR,NR,NR,NR,NR,0.833,219,19,2,1,0,3,0,0,5,1,0,0,0,0,2,2023
12,Washington Prodigy,Atlantic,https://www.washingtonprodigy.com/,NR,Washington,DC,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.667,181,34,2,1,0,2,1,0,4,2,0,0,0,0,1,2023
18,Philly Phantomz,Atlantic,https://www.phantomzprofootball.com/,Benjamin L Johnson Memorial Stadium,NR,PA,215-251-9554,info@phillyphantomz.com,DJ McFadden,NR,NR,NR,NR,NR,NR,NR,NR,0.167,54,156,1,2,0,0,3,0,1,5,0,0,0,0,0,2023
15,Tennesse Trojans,Atlantic,https://www.tennesseetrojans.com/,NR,NR,TN,615-640-1382,info@tennesseetrojans.com,,NR,NR,NR,NR,NR,NR,NR,NR,0.167,24,167,1,2,0,0,3,0,1,5,0,0,0,0,0,2023
17,Florida Avengers,Atlantic,NR,NR,NR,FL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.167,15,212,1,2,0,0,3,0,1,5,0,0,0,0,0,2023
7,Texas Elite Spartans,Central,https://www.texaselitewomensfootball.com/,Max Goldsmith Stadium,Lewisville,TX,469-986-5672,admin@texaselitewomensfootball.com,Odessa Jenkins,Kay Spain,NR,Kay Spain,NR,Elizabeth Jenkins,Dominica Spain,NR,Odessa Jenkins,1.0,235,25,3,0,0,3,0,0,6,0,0,0,0,0,6,2023
8,Mississippi Panthers,Central,https://mspanthers.com/,Madison Ridgeland Academy,NR,MS,601-212-8973,Info@mspanthers.com,LeSteven Jenkins,NR,NR,NR,NR,NR,NR,NR,NR,0.833,140,108,3,0,0,2,1,0,5,1,0,0,0,0,5,2023
11,Houston Mambas,Central,https://www.hostedsports.com/football/www.houstonmambas.com,Edward Mercer Stadium,NR,TX,832-626-2212,Houstonmambas@wnfcfootball.com,Chenell Soho Tillman-Brooks,NR,NR,NR,NR,NR,NR,NR,NR,0.5,73,112,2,1,0,1,2,0,3,3,0,0,0,0,2,2023
10,Denver Bandits,Central,https://denbandits.com/,Halftime Help Stadium,NR,CO,308-672-4437,denverbandits@wnfcfootball.com,Marcell Simpson,NR,Rashad Ray,Jason Drecketts,Brian Perryman,NR,NR,NR,John Lutz,0.333,68,112,1,2,0,1,2,0,2,4,0,0,0,0,0,2023
9,Kansas City Glory,Central,https://www.kansascityglory.com/,Shawnee Mission North High School,NR,MO,NR,kcglory@wnfcfootball.com,Keke Blackmon,NR,NR,NR,NR,NR,NR,NR,NR,0.333,56,119,1,2,0,1,2,0,2,4,0,0,0,0,0,2023
5,Utah Falconz,Pacific,https://utahfalconz.com/,Cottonwood High School,NR,UT,859-816-3671,lacy.mile@utahfalconz.com,Jasper Horn,NR,NR,NR,NR,NR,NR,NR,NR,1.0,167,66,3,0,0,3,0,0,6,0,0,0,0,0,6,2023
1,San Diego Rebellion,Pacific,https://sandiegorebellion.com/,NR,NR,NR,650-521-1756,sdrebellion@wnfcfootball.com,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.667,188,42,2,1,0,2,1,0,4,2,0,0,0,0,2,2023
4,Las Vegas Silver Stars,Pacific,https://www.lvsilverstars.com/,Faith Lutheran Middle and High School,NR,NV,702-595-4811,Lvsilverstarsfootball@gmail.com,Carrie Walters,NR,NR,NR,NR,NR,NR,NR,NR,0.5,66,70,2,1,0,1,2,0,3,3,0,0,0,0,0,2023
6,Oregon Ravens,Pacific,https://oregonravens.com/,Milwaukie High School,NR,OR,503-901-1998,oregonravensfootball@gmail.com,Tim Price,NR,NR,NR,NR,NR,NR,NR,NR,0.333,28,147,1,2,0,1,2,0,2,4,0,0,0,0,0,2023
3,Los Angeles Legends,Pacific,https://www.lalegendsfootball.com/,Juniperso Serra High School,NR,CA,310-256-0267,info@lalegendsfootball.com,Monique Adams,NR,NR,NR,NR,NR,NR,NR,NR,0.333,72,119,1,2,0,1,2,0,2,4,0,0,0,0,1,2023
2,Seattle Majestics,Pacific,https://www.theseattlemajestics.com/,French Field at Kent-Meridian High School,NR,WA,206-696-0197,seattlemajestics@wnfcfootball.com,Cyndi Butz-Houghton,NR,Rodney McCurry,Scott McCarron,NR,NR,NR,NR,NR,0.167,58,136,1,2,0,0,3,0,1,5,0,0,0,0,0,2023
12,Washington Prodigy,Atlantic,https://www.washingtonprodigy.com/,Theodore Roosevelt High School,Washington,DC,215-327-4825,prodigysports.football@gmail.com,Keith Howard,NR,NR,Tiffany Matthews,NR,Jordyn White,NR,NR,NR,0.75,170,72,2,1,0,2,0,1,4,1,1,0,0,0,0,2024
16,Atlanta Phoenix,Atlantic,https://www.atlphx.com/,Pebblebrook High School,Atlanta,GA,404-662-1242,Atlantaphoenix@wnfcfootball.com,Moncrief Hard,NR,NR,NR,NR,NR,NR,NR,NR,0.583,88,30,2,0,1,1,3,0,3,2,1,0,0,0,0,2024
15,Tennesse Trojans,Atlantic,https://www.tennesseetrojans.com/,Lipscomb Academy,NR,TN,615-640-1382,tntrojans@wnfcfootball.com,Charles Hunter,Matthew Breymeyer,Charles Hunter,Maurice Faulk,NR,NR,NR,NR,Rachael Ortiz-Marsh,0.5,52,69,1,2,0,2,1,0,3,3,0,0,0,0,3,2024
18,Philly Phantomz,Atlantic,https://www.phantomzprofootball.com/,Carey Stadium,NR,PA,610-931-4150,Info@phillyphantomz.com,DJ McFadden,NR,NR,NR,NR,NR,NR,NR,NR,0.167,53,57,0,3,0,1,2,0,1,5,0,0,0,0,0,2024
17,Florida Avengers,Atlantic,NR,NR,NR,FL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.0,35,263,0,3,0,0,3,0,0,6,0,0,0,0,0,2024
8,Mississippi Panthers,Central,https://www.mspanthers.com/,Madison Ridgeland Academy,NR,MS,601-451-2498,mspanthers@wnfcfootball.com,LeSteven Jackson,NR,NR,NR,NR,NR,NR,NR,NR,1.0,135,54,3,0,0,3,0,0,6,0,0,0,0,0,6,2024
7,Texas Elite Spartans,Central,https://www.texaselitewomensfootball.com/,Max Goldsmith Stadium,NR,TX,NR,operations@texaselitewomensfootball.com,Odessa Jenkins,NR,NR,Lakesha Spain,NR,NR,NR,NR,NR,0.833,163,42,3,0,0,2,1,0,5,1,0,0,0,0,3,2024
