Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Kristen London,1,DB,5-9,173,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,3.5,0,1,0,0,0,0,0,0,0,0,4,0,2,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie Brann,2,WR,5-10,185,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,5,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,15,NR,0,0,0,0,0,0,0,0
Jasmine Thomas,3,WR,5-3,128,NR,NR,NR,NR,0,0,0,0,0,0,0,0,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lydia Morgan,4,WR,5-3,115,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,48,7,18,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,89,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brittany Jones,5,RB,5-6,145,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breana Griggs,6,DB,5-7,156,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,29,2,28,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,47,26,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicole Matheson,7,LB,5-4,156,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0.5,0,1,2,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zharyah Willis,8,DB,5-7,150,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,1,0,NR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wendy Sun,9,RB,5-3,130,NR,NR,NR,NR,0,0,0,0,0,0,0,0,96,31,34,1,32,1,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Casey Cubis,12,QB,6-0,172,NR,NR,NR,NR,669,57,152,37.5,7,6,NR,50.6,20,7,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
