Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Angela Hamilton,2,DB,5-6,150,NR,Cambridge,MA,Kennesaw State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,1,0,0,0,0,0,0,1,0,NR,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raina Royale,5,DB,5-5,145,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jkera Shamburger,5,WR,5-6,118,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,18,3,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,63,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tina Frisby,6,QB,5-9,170,NR,NR,NR,NR,446,33,74,44.6,5,5,NR,58.7,34,29,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Laurisa Hollenshed,7,LB,5-4,165,NR,NR,NR,NR,0,0,0,0,0,0,0,0,33,5,23,0,3,1,3,0,15,9,5.5,4,0,0,0,0,0,0,0,0,0,0,0,3,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jazmin Gamble Tello,9,RB,5-4,195,NR,NR,NR,NR,0,0,0,0,0,0,0,0,21,8,7,0,0,0,0,0,1,0,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashura Powell,10,WR,5-6,165,NR,NR,NR,NR,0,0,0,0,0,0,0,0,6,4,6,0,10,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nashi Catron,11,QB,5-10,195,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dayanna Rangel,13,RB,5-4,135,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deztine Thomas,14,DB,5-6,120,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antoinette Harris,15,DB,5-6,155,NR,NR,NR,NR,0,0,0,0,0,0,0,0,6,2,6,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2,38,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
