Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Amiracle Mitchell,0,WR,NR,NR,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,22,2,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rasan Gore,1,QB,NR,NR,1990,NR,NR,NR,1282,99,202,49,13,11,44,68.1,229,57,24,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Jamie Lock,2,DB,5-3,130,1988,Pelahatchie,MS,Mississippi Valley State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regena Jackson,3,WR,5-6,175,1988,Denham Springs,LA,BU,0,0,0,0,0,0,0,0,22,6,7,1,287,31,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,85,0,40,5,0,0,0,0,0,0,1
Shaniya Lacey,4,WR,5-6,135,2001,Memphis,TN,Southaven High,0,0,0,0,0,0,0,0,48,6,28,0,37,4,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,48,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Takera Mitchell,5,DB,NR,NR,1993,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,1,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida Edwards,6,DE,6-0,180,1985,Yazoo City,MS,ESU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candice Davis,7,RB,5-3,155,1991,Mize,MS,University of Southern MS,0,0,0,0,0,0,0,0,105,32,21,0,50,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alona Alexander,8,WR,5-7,150,1986,Madison,MS,Tougaloo College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jasmine Redmon,9,DB,NR,NR,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alyssa McCarron,10,WR,5-6,145,1999,Baton Rouge,LA,Millsaps College,0,0,0,0,0,0,0,0,0,0,0,0,104,10,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,18,0,0,0,0,0,5,96,0,33,0,0,0,0,0,0,0,0
Brittany Bassett,11,WR,5-11,180,1985,Memphis,TN,Arkansas State University,0,0,0,0,0,0,0,0,0,0,0,0,28,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mary Woodard,12,WR,NR,NR,1997,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,1.5,0,1,1,0,NR,0,1,0,NR,0,2,0,7,79,25,0,5,33,15,0,1,1,0,NR,0,0,0,0,0,0,0,0
Natalie Nicks,13,WR,5-6,150,1999,Pensacola,FL,US Air Force Academy,0,0,0,0,0,0,0,0,0,0,0,0,224,19,47,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
