Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Britanni Lusain,1,LB,5-8,190,1995,San Diego,CA,Northern Arizona University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,4,0,0,4,162,52,3,1,0,NR,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Sakura Roberson,2,WR,6-0,155,1999,San Diego,CA,NR,0,0,0,0,0,0,0,0,0,0,0,0,310,9,69,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,0,2,27,27,0,0,0,0,0,5,0,0,0,0,0,0,0
Jen Strother,4,K,5-5,210,1971,Escondido,CA,Grand Canyon University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,0
Daisy Avila,5,LB,5-4,200,1996,Ossining,NY,Liberty University Graduate School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hollie Sanders,7,DB,5-6,141,NR,Jacksonville,NR,University of North Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eboni Chambers,8,TE,5-8,210,1985,San Diego,CA,Clark Atlanta University,0,0,0,0,0,0,0,0,0,0,0,0,95,3,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Katherine Claxton,10,WR,6-0,185,1998,Whittier,CA,San Diego State University,0,0,0,0,0,0,0,0,0,0,0,0,13,1,13,0,13,17,4,2,0,0,0,0,0,1,0,NR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knengi Martin,11,QB,5-11,200,1983,Palo Alto,CA,Life,472,25,54,46.3,8,3,68,93.5,,29,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Colleen Sam Dreiling,12,DB,5-4,145,1996,Apopka,FL,University of South Florida,0,0,0,0,0,0,0,0,13,4,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,NR,0,0,1,0,0,0,0,0,0,0,0,14,431,0,49,0,0,0,0,0,0,0,0
Kristin Smereczynski,13,WR,NR,NR,NR,NR,NR,NR,49,6,11,54.5,0,0,NR,66.1,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
