Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Satoria Bell,0,QB,5-10,215,1990,Philidelphia,PA,Newman University,203,20,51,39.2,2,1,NR,56.2,17,2,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liz Landry,1,WR,5-9,175,1980,Beaumont,TX,Texas Wesleyan University,0,0,0,0,0,0,0,0,0,0,0,0,164,11,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,28,0,3,10,7,0,0,0,0,0,2,0,0,0,0,0,0,0
Eshombi Singleton,2,S,5-9,170,1983,Baton Rouge,LA,Rice University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,1,25,25,0,0,0,0,0,2,0,0,0,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Shantia Creech,3,DB,5-7,145,1991,Philadelphia,PA,Golden-Beacom College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,19,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessica Collins,4,DB,5-5,152,1989,Jackson,MS,Southern New Hampshire University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarah Gomez,5,QB,5-8,165,1993,Coppell,TX,Texas Tech University,15,1,4,25,0,0,NR,42.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivia Griswold,6,DL,5-10,215,1986,Toledo,OH,Rogers High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michelle Angel,7,QB,5-9,140,1993,Laguna Hills,CA,Laguna Hills High School,170,10,20,50,1,0,NR,95.8,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brittany Bushman,8,QB,5-7,165,1986,Portsmouth,NH,Emmanuel College,151,14,25,56,2,2,NR,67.2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allyssa Weatherd,9,LB,5-8,190,1993,Fort Worth,TX,Dominican University of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,6,2,0,0,0,0,0,1,0,NR,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desiray Mosley,10,DB,5-3,140,1996,Sulpher Springs,TX,Mississippi Valley State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,14,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denise Arceneaux,11,DL,5-9,225,1985,Houston,TX,Southern University A&M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanna McEwen,12,DB,5-7,148,1998,Winnipeg,MB,University of Manitoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jewelle Grimsley,13,DB,5-8,164,1988,St. Petersburg,FL,United States Army,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,0,1,1,51,51,1,0,0,0,0,4,0,1,87,87,1,1,20,20,0,0,0,0,0,2,0,0,0,0,0,0,0
Tara Thomas,15,RB,5-4,151,1989,Dallas,TX,Texas Tech University,0,0,0,0,0,0,0,0,441,67,47,6,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,22,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Denesha Richardson,16,DB,5-9,185,1994,Carrollton,TX,West Virginia Wesleyan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reese Green,17,LB,5-4,169,1989,Monroe,LA,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyeisha Wright,18,WR,5-7,174,1988,Brooklyn,NY,Middle Tennessee State,0,0,0,0,0,0,0,0,7,1,7,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley Mcbay,20,WR,5-2,144,1990,Grand Prarie,TX,University of Kansas,0,0,0,0,0,0,0,0,21,6,11,2,49,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,26,0,3,38,35,0,0,0,0,0,2,0,0,0,0,0,0,0
Jamie Lock,21,DB,5-2,135,1990,Pelahatchie,MS,Mississippi Valley State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,NR,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kahriya Williams,22,RB,5-6,170,1999,Gilmer,TX,NR,0,0,0,0,0,0,0,0,63,12,32,1,19,5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Stacey Grob,25,DL,5-8,187,1998,Amsterdam,Netherlands,Amsterdam University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jelani Kelly,27,FB,5-6,220,1990,Grapevine,TX,Missouri State University,0,0,0,0,0,0,0,0,34,7,11,1,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Ebonie Graham,28,LB,5-6,180,1989,Lexington,KY,Georgia State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arielle Wilks,29,DL,5-9,235,1988,Dallas,TX,Jarvis Christian College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
