Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Tanishia Norman,2,DB,5-8,140,NR,Memphis,TN,Middle Tennessee State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paytience Kamuta,3,QB,5-8,245,NR,Tacoma,WA,Lincoln High School,527,25,62,40.3,4,4,NR,65.7,148,30,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
Crys Contreras,4,RB,5-4,183,NR,Crowder,MS,NR,0,0,0,0,0,0,0,0,0,4,NR,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Srey Routh,5,RB,4-11,125,NR,Seattle,WA,Renton High School,0,0,0,0,0,0,0,0,91,22,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Krista Seaman,6,CB,5-5,132,NR,Lawrence,KS,University of Texas at Austin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,1,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michell Zamudio,7,DB,5-5,163,NR,Mexico City,MX,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Lampert,8,WR,5-6,150,NR,Laporte,MN,St. Cloud State University,4,3,3,0,0,0,NR,79.2,117,11,53,1,246,9,93,1,3,0,1,1,0,1,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
Jazmine Rambo,9,RB,5-5,140,NR,Tacoma,WA,Arkansas State University,0,0,0,0,0,0,0,0,281,53,45,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Shaunya Kahananui,10,WR,5-9,150,NR,Waianae,HI,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulina Lopez,13,LB,5-2,139,NR,Zacatecas,MX,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,1,0,0,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jocelyn Charette,16,K,5-10,160,NR,Seattle,WA,University of Washington,0,0,0,0,0,0,0,0,17,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59,0,36,0,0,0,0,4,4,0,0
Ana Barbosa,17,WR,5-5,148,NR,Mexico City,MX,NR,0,0,0,0,0,0,0,0,0,0,0,0,149,6,21,1,8,3,0,0,0,2,37,28,0,0,0,0,0,0,0,5,71,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Andraliah Lee,20,RB,5-5,170,NR,Twenty Nine Palms,CA,Green River Community College,0,0,0,0,0,0,0,0,271,45,64,4,9,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2
Billie Kennedy-Jefferson,21,RB,5-4,166,NR,Lummi Nation,NR,Northwest Indian College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molly Tester,23,RB,5-2,167,NR,Grapeview,WA,Olympic College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melonie Washington,24,DL,5-6,175,NR,New York,NY,"Roosevelt High School, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McKenzie Tolliver,25,WR,NR,NR,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erica Jackson,26,DB,5-6,145,NR,Tacoma,WA,Western Washington University,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
