Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Ryvan Buchanan,1,QB,NR,NR,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,1,NR,0,57,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marrhea Everheart,2,DB,5-7,145,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Reese,5,DB,5-6,135,NR,Lagrange,GA,Clark Atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,0,1,2,79,41,1,0,0,0,0,0,0,4,49,18,0,5,51,18,0,0,0,0,0,1,0,0,0,0,0,0,0
Shadella Reese,6,TE,5-5,165,NR,Atlanta,GA,JC smith,0,0,0,0,0,0,0,0,9,1,9,0,44,4,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,17,0,3,20,20,0,0,0,0,0,2,0,0,0,0,0,0,1
Mackenzie Dykes,7,QB,5-6,139,NR,NR,NR,NR,0,0,1,0,0,0,NR,39.6,27,11,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,28,1,0,0,0,3,5,0,0
Carol Sauders,8,WR,6-0,140,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,133,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lindey Larry,9,LB,5-7,145,NR,Starkville,MS,Indian River High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,5,5,0,8,152,0,29,0,0,0,0,0,0,0,0
Renee Langalais,12,QB,5-8,173,NR,NR,NR,USMC,382,31,92,33.7,4,1,NR,"57,4",16,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daisha Lawson,13,DB,5-2,130,NR,NR,NR,Alabama State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Dejesus,14,WR,5-7,125,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominique Trappio,15,S,NR,NR,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kristina Cooper,19,LB,5-4,165,NR,College Park,GA,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlNisa Thomas,20,LB,5-6,195,NR,Newark,NJ,Clark Atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,2,1.5,0,2,21,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arnetha Simmons,21,WR,5-5,156,NR,Columbia,SC,Kell High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ebony Minter,22,RB,5-3,155,NR,Decatur,GA,NR,0,0,0,0,0,0,0,0,103,21,17,0,0,0,0,0,4,2,1,0.5,1,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Davis,23,DB,5-8,139,NR,Atlanta,GA,Clayton State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jasmyn Moxley,25,DB,NR,NR,NR,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
