Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Isabel Warren,0,WR,5-6,170,2000,Reno,NV,Lake Tahoe Community College,0,0,0,0,0,0,0,0,0,1,NR,0,248,17,52,3,10,9,3,0,1,0,0,0,0,1,0,NR,0,1,0,1,13,13,0,0,0,0,0,19,591,0,59,3,0,0,0,1,2,0,0
Kali Jones,1,WR,6-2,172,1997,Denver,CO,Kansas State University,0,0,0,0,0,0,0,0,0,0,0,0,229,12,58,1,1.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,4,68,21,0,5,12,6,0,0,0,0,0,1,0,0,0,0,0,0,0
Amare Mercer,2,WR,5-3,140,2005,Washington,DC,Dunbar High School,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caroline Malala,3,DT,5-4,157,1991,Pago Pago,American Samoa,Heald College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brynn McNabb,4,WR,5-7,145,2003,Silver Stars,NV,UNR,0,0,0,0,0,0,0,0,322,33,90,3,17,3,7,0,0.5,3,0,0,0,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Dana Harris,5,QB,5-3,165,1997,NR,NR,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beatriz Rico,6,RB,5-7,184,2004,Silver Stars,NV,Del Sol High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,15,4.5,1,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleesah Wilson,11,RB,5-4,140,2005,Silver Stars,NV,Bethel College,0,0,0,0,0,0,0,0,49,30,11,2,13,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Ty Rodriguez,12,QB,5-9,170,1986,Silver Stars,NV,Palo Verde High School,546,43,113,38.1,3,4,58,48,29,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tehya Demski-Hamelin,13,DB,5-4,128,1992,Ashburnham,MA,University of Massachusetts Amherst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,1,0,NR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christina Vollrath,14,WR,5-3,130,1997,Sacramento,CA,Keema High School,0,0,0,0,0,0,0,0,0,1,NR,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mariah Makupson,15,DT,5-3,180,1994,Seattle,WA,Advanced Training Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
