Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Gabrielle Juarbe,0,DB,5-5,125,1996,New York,NY,BMCC,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kayla Russell,1,LB,5-2,170,1999,Staten Island,NY,Curtis High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,14,4,1,0,0,0,0,0,4,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gina Capardi,2,WR,5-3,140,1987,Colts Neck,NJ,Fordham University,50,5,14,35.7,1,3,35,31,0,5,1,0,155,20,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monae Clancy,3,RB,5-5,160,1996,Paterson,NJ,Montclair State University,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,6.5,5,0.5,0.5,0,0,0,0,0,2,0,NR,0,1,0,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephanie Fogarty-Yee,6,WR,5-4,130,1993,New York,NY,Pennsylvania State University,0,0,0,0,0,0,0,0,0,0,0,0,64,6,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
India Parker,7,RB,5-6,150,2000,Philadelphia,PA,Millville Sr High School,0,0,0,0,0,0,0,0,45,13,19,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,20,0,1,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Parrotta,8,WR,5-3,130,1991,Centereach,NY,Dowling College,0,0,0,0,0,0,0,0,0,0,0,0,192,13,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,638,0,36,0,0,0,0,0,0,0,0
Amani Perdue,9,RB,5-5,135,2005,East Orange,NJ,East Orange Campus High School,0,0,0,0,0,0,0,0,25,24,8,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tatiana Perez,11,DB,5-2,124,1993,Newark,NJ,Essex County College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jane Crosby,12,LB,5-5,200,1991,Brooklyn,NY,American Military University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NiaMaya Outlaw,13,DB,5-8,177,1996,Freeport,NY,Nassau Community College,0,0,0,0,0,0,0,0,0,1,NR,0,0,0,0,0,11,8,0,0,1,3,74,54,0,1,0,NR,0,5,1,8,131,25,0,2,26,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Danneille Ayala,14,QB,5-8,175,1987,Astoria,NY,New York University,0,0,0,0,0,0,0,0,0,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imani Thompson,15,WR,5-5,160,1998,Wayne,NJ,Montclair State University,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,16,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
