Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,Home State,School,Passing Yards,Passing Comp,Passing Att,Passing Pct,Passing TD,Passing Int,Passing Long,Passing Rating,Rushing Yards,Rushing Carries,Rushing Long,Rushing TD,Receiving Yards,Receiving Rec,Receiving Long,Receiving TD,Tackles Solo,Tackles Assists,Tackles For Loss,Sacks,Forced Fumbles,Interceptions,Interception Return Yards,Interception Return Long,Interception Return TD,Fumble Recoveries,Fumble Return Yards,Fumble Return Long,Fumble Return TD,Pass Deflections,Blocked Kicks and Punts,Kickoff Returns,Kickoff Returns Yards,Kickoff Returns Long,Kickoff Returns TD,Punt Returns,Punt Return Yards,Punt Return Long,Punt Return TD,Punts,Punting Yards,Punting Touchbacks,Punting Long,Touchdowns,Field Goals,Field Goal Att,Field Goal Long,PAT Kicks,PAT Kicks Att,Safeties,PAT Conversions
Morgan Alston,0,RB,5-4,205,1995,Orland Park,IL,University of Tennessee,0,0,0,0,0,0,0,0,322,57,42,4,46,4,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Antoinette Harris,1,DB,5-7,165,1996,Detroit,MI,University of Southern California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leslie Robinson,2,RB,5-2,145,1985,Detroit,MI,Plymouth Canton HS,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danielle Spearman,3,DB,5-1,125,1991,Chicago,IL,John Hope HS,0,0,0,0,0,0,0,0,3,1,3,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciara Anderson,4,WR,5-5,135,1992,Chicago,IL,North Greenville University,0,0,0,0,0,0,0,0,0,0,0,0,105,11,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,189,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lawanda Pearson,5,DB,5-7,142,1995,Pittsburgh,PA,CCAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicole Matheson,7,DB,5-4,160,1985,Tacoma,WA,University of Washington Tacoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,7,0,0,0,1,0,NR,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarah Teubner,8,QB,5-7,170,1999,Salem,OR,University of Wisconsin-Green Bay,1008,72,133,54.1,18,4,79,105.8,215,36,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gabriel Rahming,10,DB,5-4,158,1994,Chicago,IL,University of Illinois Urbana-Champaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAnna Hightower Riley,11,DL,6-0,185,1978,Chicago,IL,Chicago State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
